171020_100min.csv;;Kemi1\Kemi01;20-10-2017 14:42:24;GENESYS 10S UV-Vis;2L9T161212;4.006
nm;A
200;2.9769
201;3.0211
202;3.0797
203;3.107
204;3.1417
205;3.1581
206;3.1547
207;3.1414
208;3.1257
209;3.1091
210;3.1066
211;3.0962
212;3.1089
213;3.0928
214;3.0943
215;3.0894
216;3.0888
217;3.1037
218;3.1021
219;3.1039
220;3.1175
221;3.1182
222;3.1184
223;3.1471
224;3.1602
225;3.162
226;3.1799
227;3.198
228;3.2205
229;3.2361
230;3.2297
231;3.2212
232;3.2064
233;3.1928
234;3.1853
235;3.1896
236;3.182
237;3.1851
238;3.1721
239;3.166
240;3.1684
241;3.1797
242;3.1872
243;3.1893
244;3.1724
245;3.1569
246;3.1642
247;3.1717
248;3.1648
249;3.1559
250;3.1341
251;3.1221
252;3.1205
253;3.1213
254;3.082
255;3.0635
256;3.081
257;3.0507
258;3.0641
259;3.0683
260;3.0727
261;3.0605
262;3.0332
263;3.0049
264;2.9889
265;2.9993
266;2.978
267;2.9699
268;2.9598
269;2.9512
270;2.9489
271;2.9531
272;2.9594
273;2.9404
274;2.9305
275;2.9272
276;2.9251
277;2.9281
278;2.9259
279;2.922
280;2.9219
281;2.9276
282;2.9384
283;2.9409
284;2.9436
285;2.948
286;2.9575
287;2.9619
288;2.96
289;2.9653
290;2.9693
291;2.9743
292;2.9735
293;2.9802
294;2.9915
295;3.0016
296;3.0139
297;3.0316
298;3.0341
299;2.9925
300;2.8761
301;2.692
302;2.5027
303;2.3445
304;2.2201
305;2.1411
306;2.0979
307;2.0817
308;2.0846
309;2.1024
310;2.1326
311;2.1748
312;2.2204
313;2.2754
314;2.3419
315;2.3979
316;2.4535
317;2.5177
318;2.5832
319;2.6349
320;2.6807
321;2.7266
322;2.7654
323;2.8168
324;2.8457
325;2.8493
326;2.8685
327;2.8722
328;2.8721
329;2.8778
330;2.8783
331;2.8896
332;2.897
333;2.9053
334;2.8987
335;2.8863
336;2.8839
337;2.8761
338;2.8764
339;2.8685
340;2.8606
341;2.8627
342;2.8645
343;2.8672
344;2.8848
345;2.8764
346;2.8679
347;2.8513
348;2.8356
349;2.8292
350;2.8358
351;2.8306
352;2.8292
353;2.8333
354;2.8283
355;2.8273
356;2.8178
357;2.8142
358;2.7752
359;2.7169
360;2.6537
361;2.5607
362;2.4464
363;2.2925
364;2.1066
365;1.9341
366;1.776
367;1.6177
368;1.467
369;1.3218
370;1.1874
371;1.0721
372;0.972
373;0.8738
374;0.7895
375;0.7197
376;0.6572
377;0.6079
378;0.5686
379;0.5306
380;0.4945
381;0.4652
382;0.4401
383;0.4188
384;0.4008
385;0.3848
386;0.3709
387;0.3593
388;0.349
389;0.34
390;0.3317
391;0.3237
392;0.3177
393;0.3113
394;0.305
395;0.3003
396;0.2949
397;0.2896
398;0.285
399;0.2808
400;0.2765
401;0.2728
402;0.2686
403;0.265
404;0.2612
405;0.2581
406;0.2546
407;0.2511
408;0.2474
409;0.2443
410;0.241
411;0.238
412;0.2353
413;0.2324
414;0.2292
415;0.2265
416;0.2236
417;0.2207
418;0.218
419;0.2151
420;0.2122
421;0.2096
422;0.2068
423;0.2043
424;0.2019
425;0.1993
426;0.1969
427;0.1945
428;0.1919
429;0.1896
430;0.1868
431;0.1845
432;0.1816
433;0.1799
434;0.1778
435;0.1753
436;0.1732
437;0.171
438;0.1691
439;0.1669
440;0.165
441;0.1632
442;0.1613
443;0.1592
444;0.1573
445;0.1556
446;0.1538
447;0.1523
448;0.1506
449;0.149
450;0.1474
451;0.1456
452;0.1444
453;0.1429
454;0.1416
455;0.1401
456;0.1386
457;0.1371
458;0.1359
459;0.1346
460;0.1335
461;0.1323
462;0.1307
463;0.1297
464;0.1283
465;0.1271
466;0.1259
467;0.1248
468;0.1236
469;0.1223
470;0.1212
471;0.1203
472;0.119
473;0.1179
474;0.1168
475;0.1159
476;0.1145
477;0.1135
478;0.1125
479;0.1112
480;0.1105
481;0.1093
482;0.1082
483;0.1069
484;0.1061
485;0.1053
486;0.1043
487;0.1033
488;0.1024
489;0.1016
490;0.1002
491;0.0989
492;0.0982
493;0.0969
494;0.0961
495;0.095
496;0.0934
497;0.0926
498;0.0915
499;0.0901
500;0.089
501;0.0881
502;0.087
503;0.0862
504;0.0849
505;0.0838
506;0.0825
507;0.0816
508;0.0806
509;0.0795
510;0.0781
511;0.0772
