171020_20min.csv;;Kemi1\Kemi01;20-10-2017 13:19:16;GENESYS 10S UV-Vis;2L9T161212;4.006
nm;A
200;3.0317
201;3.0557
202;3.1155
203;3.1655
204;3.2376
205;3.2436
206;3.2397
207;3.2349
208;3.2122
209;3.2321
210;3.2157
211;3.2135
212;3.2079
213;3.1966
214;3.224
215;3.2142
216;3.2155
217;3.2293
218;3.2368
219;3.2417
220;3.2472
221;3.2525
222;3.2573
223;3.2652
224;3.2983
225;3.283
226;3.2794
227;3.3191
228;3.3493
229;3.3649
230;3.3568
231;3.3402
232;3.3224
233;3.2998
234;3.3012
235;3.2971
236;3.2853
237;3.284
238;3.266
239;3.2683
240;3.27
241;3.2879
242;3.3108
243;3.311
244;3.2924
245;3.2747
246;3.2842
247;3.2978
248;3.302
249;3.2837
250;3.259
251;3.2479
252;3.2587
253;3.2418
254;3.2615
255;3.2353
256;3.2389
257;3.2506
258;3.2487
259;3.2654
260;3.2895
261;3.2841
262;3.2846
263;3.238
264;3.207
265;3.2144
266;3.2018
267;3.2034
268;3.1906
269;3.1795
270;3.1681
271;3.1796
272;3.1885
273;3.1963
274;3.1768
275;3.1698
276;3.1754
277;3.1769
278;3.1667
279;3.1603
280;3.1577
281;3.1703
282;3.1745
283;3.1746
284;3.1804
285;3.1842
286;3.2004
287;3.2355
288;3.2151
289;3.2236
290;3.2206
291;3.2315
292;3.2247
293;3.2204
294;3.249
295;3.2751
296;3.3035
297;3.3625
298;3.401
299;3.393
300;3.4158
301;3.4654
302;3.4959
303;3.5069
304;3.4876
305;3.485
306;3.4726
307;3.4675
308;3.4773
309;3.4471
310;3.4349
311;3.4016
312;3.3725
313;3.343
314;3.3232
315;3.3106
316;3.2705
317;3.2311
318;3.2152
319;3.2013
320;3.1812
321;3.1583
322;3.1596
323;3.1735
324;3.1606
325;3.1273
326;3.1182
327;3.0849
328;3.072
329;3.0549
330;3.045
331;3.0467
332;3.0516
333;3.0513
334;3.0409
335;3.0216
336;3.018
337;3.0026
338;3.0054
339;2.9974
340;2.9852
341;2.979
342;2.9786
343;2.9933
344;2.9972
345;2.9994
346;2.9886
347;2.9613
348;2.9515
349;2.9343
350;2.9381
351;2.9363
352;2.926
353;2.9432
354;2.9411
355;2.9374
356;2.9279
357;2.9303
358;2.9021
359;2.8374
360;2.7776
361;2.6883
362;2.5717
363;2.4124
364;2.2146
365;2.0315
366;1.8616
367;1.6943
368;1.5342
369;1.378
370;1.234
371;1.1099
372;1.0018
373;0.896
374;0.806
375;0.7299
376;0.6622
377;0.6082
378;0.5668
379;0.5258
380;0.4862
381;0.4543
382;0.428
383;0.4051
384;0.386
385;0.3698
386;0.3559
387;0.3441
388;0.3347
389;0.3267
390;0.3195
391;0.313
392;0.3085
393;0.3041
394;0.3001
395;0.2973
