171020_80min.csv;;Kemi1\Kemi01;20-10-2017 14:18:49;GENESYS 10S UV-Vis;2L9T161212;4.006
nm;A
200;2.958
201;3.0176
202;3.0705
203;3.0906
204;3.1442
205;3.1501
206;3.1438
207;3.1275
208;3.1247
209;3.1122
210;3.091
211;3.0965
212;3.0988
213;3.0899
214;3.1045
215;3.0843
216;3.0848
217;3.0952
218;3.1125
219;3.112
220;3.1114
221;3.1169
222;3.128
223;3.1397
224;3.1467
225;3.1524
226;3.179
227;3.2006
228;3.2242
229;3.2371
230;3.2291
231;3.2174
232;3.2015
233;3.1887
234;3.1902
235;3.1907
236;3.1811
237;3.1761
238;3.1715
239;3.1669
240;3.171
241;3.1796
242;3.1926
243;3.1877
244;3.1715
245;3.1562
246;3.1613
247;3.1718
248;3.1691
249;3.1507
250;3.131
251;3.114
252;3.1174
253;3.1133
254;3.0853
255;3.0774
256;3.0748
257;3.0525
258;3.0636
259;3.0695
260;3.07
261;3.0584
262;3.0566
263;3.0209
264;2.9992
265;2.9882
266;2.9756
267;2.9713
268;2.9598
269;2.9468
270;2.9397
271;2.9531
272;2.9529
273;2.9538
274;2.9356
275;2.9283
276;2.9309
277;2.9339
278;2.9294
279;2.9258
280;2.9285
281;2.9349
282;2.9426
283;2.9619
284;2.946
285;2.9521
286;2.961
287;2.9874
288;2.9572
289;2.9622
290;2.9717
291;2.9774
292;2.9803
293;2.9807
294;2.9934
295;3.0098
296;3.022
297;3.0348
298;3.0432
299;3.0218
300;2.9262
301;2.778
302;2.5994
303;2.4426
304;2.3156
305;2.2321
306;2.1827
307;2.1615
308;2.1615
309;2.1727
310;2.2005
311;2.2383
312;2.282
313;2.3341
314;2.3979
315;2.4509
316;2.5059
317;2.5656
318;2.6233
319;2.6741
320;2.7173
321;2.7516
322;2.7929
323;2.8356
324;2.8652
325;2.8665
326;2.88
327;2.8824
328;2.8789
329;2.8808
330;2.8805
331;2.8778
332;2.8869
333;2.8944
334;2.8891
335;2.8734
336;2.8691
337;2.8693
338;2.8731
339;2.864
340;2.8503
341;2.8556
342;2.8553
343;2.8579
344;2.8708
345;2.8698
346;2.8539
347;2.8403
348;2.8201
349;2.827
350;2.8208
351;2.821
352;2.8199
353;2.8247
354;2.8218
355;2.8186
356;2.8127
357;2.8085
358;2.7781
359;2.7239
360;2.6623
361;2.5764
362;2.4635
363;2.3051
364;2.1135
365;1.935
366;1.7707
367;1.6075
368;1.4504
369;1.2989
370;1.1591
371;1.0402
372;0.9355
373;0.8342
374;0.7479
375;0.6757
376;0.6118
377;0.5613
378;0.5221
379;0.4832
380;0.4463
381;0.4176
382;0.3931
383;0.3717
384;0.3544
385;0.3392
386;0.326
387;0.3148
388;0.3054
389;0.2975
390;0.2897
391;0.283
392;0.2779
393;0.2722
394;0.2672
395;0.2632
396;0.2587
397;0.2545
398;0.2511
399;0.2475
400;0.2442
401;0.2411
402;0.2379
403;0.235
404;0.2319
405;0.2296
406;0.227
407;0.2244
408;0.2214
409;0.2192
410;0.2165
411;0.2143
412;0.2123
413;0.21
414;0.2074
415;0.2053
416;0.2029
417;0.2003
418;0.1987
419;0.1963
420;0.1939
421;0.1915
422;0.1896
423;0.1874
424;0.1854
425;0.1836
426;0.1814
427;0.1794
428;0.1775
429;0.1755
430;0.1731
431;0.1709
432;0.1693
433;0.1674
434;0.1657
435;0.1639
436;0.162
437;0.1604
438;0.1588
439;0.1571
440;0.1556
441;0.1541
442;0.1525
443;0.1508
444;0.1496
445;0.148
446;0.1466
447;0.1455
448;0.1442
449;0.1429
450;0.1416
451;0.1399
452;0.139
453;0.1379
454;0.1365
455;0.1354
456;0.1342
457;0.133
458;0.1319
459;0.1307
460;0.1298
461;0.1289
462;0.1276
463;0.1266
464;0.1255
465;0.1245
466;0.1236
467;0.1229
468;0.1218
469;0.1208
470;0.1197
471;0.1188
472;0.1178
473;0.1171
474;0.1159
475;0.115
476;0.1142
477;0.1132
478;0.1121
479;0.1113
480;0.1106
481;0.1096
482;0.109
483;0.1079
484;0.1072
485;0.1066
486;0.106
487;0.105
488;0.1043
489;0.1035
490;0.1025
491;0.1015
492;0.1009
493;0.0998
494;0.0988
495;0.0975
496;0.0964
497;0.0955
498;0.094
499;0.0932
500;0.0921
501;0.0906
502;0.0891
503;0.0884
504;0.0877
505;0.0859
506;0.0853
507;0.0835
508;0.0826
509;0.0817
510;0.0806
511;0.0797
512;0.0786
513;0.0775
514;0.0769
515;0.0759
516;0.075
517;0.0738
518;0.0729
519;0.0719
520;0.0714
521;0.0703
522;0.0694
523;0.0684
524;0.068
525;0.0668
526;0.0659
527;0.0653
528;0.0644
529;0.0636
530;0.063
531;0.0624
532;0.0616
533;0.0608
534;0.06
535;0.0595
536;0.0585
537;0.058
538;0.0572
539;0.0563
540;0.0558
541;0.0549
542;0.0543
543;0.0541
544;0.0528
545;0.0523
546;0.0522
547;0.051
548;0.0502
549;0.0497
550;0.0491
551;0.0484
552;0.0476
553;0.0469
554;0.0473
555;0.0463
556;0.0451
557;0.0453
558;0.0444
559;0.0436
560;0.0428
561;0.0423
562;0.0418
563;0.0417
564;0.0413
565;0.0403
566;0.0399
567;0.0394
568;0.0387
569;0.0386
570;0.0373
571;0.0372
572;0.0373
573;0.0358
574;0.0357
575;0.0349
576;0.0351
577;0.0343
578;0.0337
579;0.0333
580;0.0333
581;0.0329
582;0.0322
583;0.0315
584;0.0311
585;0.0311
586;0.0306
587;0.0301
588;0.03
589;0.0292
590;0.0292
591;0.0295
592;0.028
593;0.0283
594;0.0271
595;0.0271
596;0.0272
597;0.0267
598;0.026
599;0.0258
600;0.0252
601;0.0256
602;0.0246
603;0.0253
604;0.0247
605;0.0245
606;0.0245
607;0.0241
608;0.0235
609;0.0235
610;0.0229
611;0.0223
612;0.0224
613;0.022
614;0.0214
615;0.021
616;0.0206
617;0.0211
618;0.021
619;0.02
620;0.0206
621;0.0199
622;0.0197
623;0.0193
624;0.0192
625;0.0197
626;0.019
627;0.0185
628;0.0187
629;0.0186
630;0.0185
631;0.0177
632;0.0174
633;0.0174
634;0.0166
635;0.018
636;0.0164
637;0.0158
638;0.0157
639;0.0156
640;0.0165
641;0.0157
642;0.0151
643;0.0157
644;0.0154
645;0.0165
646;0.0154
647;0.0139
648;0.0144
649;0.0145
650;0.0139
651;0.0147
652;0.0141
653;0.014
654;0.0139
655;0.0138
656;0.0132
657;0.0135
658;0.0128
659;0.0135
660;0.0134
661;0.0123
662;0.0129
663;0.0126
664;0.0126
665;0.012
666;0.0127
667;0.0128
668;0.0121
669;0.0129
670;0.0123
671;0.0123
672;0.0129
673;0.0122
674;0.0124
675;0.0126
676;0.0123
677;0.0121
678;0.0124
679;0.0109
680;0.0119
681;0.0113
682;0.0117
683;0.0115
684;0.0124
685;0.0114
686;0.0111
687;0.0121
688;0.0108
689;0.0116
690;0.0114
691;0.0122
692;0.0111
693;0.0108
694;0.011
695;0.0108
696;0.0102
697;0.0116
698;0.0103
699;0.0105
700;0.0112
701;0.0107
702;0.0108
703;0.0103
704;0.01
705;0.0102
706;0.011
707;0.0095
708;0.0098
709;0.0103
710;0.0098
711;0.009
712;0.0094
713;0.0091
714;0.0097
715;0.0092
716;0.0093
717;0.0081
718;0.0088
719;0.0089
720;0.0089
721;0.0096
722;0.0087
723;0.0089
724;0.0088
725;0.0088
726;0.0089
727;0.0085
728;0.0083
729;0.0084
730;0.0089
731;0.0091
732;0.0088
733;0.0083
734;0.0083
735;0.0089
736;0.0076
737;0.0084
738;0.0079
739;0.0083
740;0.0077
741;0.0081
742;0.0075
743;0.0085
744;0.0083
745;0.0071
746;0.0083
747;0.0069
748;0.0079
749;0.0069
750;0.0075
751;0.0081
752;0.0081
753;0.0071
754;0.0074
755;0.0079
756;0.0073
757;0.0074
758;0.0072
759;0.0072
760;0.0071
761;0.0069
762;0.0069
763;0.0061
764;0.0065
765;0.0069
766;0.0069
767;0.007
768;0.006
769;0.0065
770;0.0073
771;0.0069
772;0.0059
773;0.0063
774;0.0068
775;0.0065
776;0.0058
777;0.006
778;0.0059
779;0.0054
780;0.0062
781;0.0069
782;0.0069
783;0.006
784;0.0065
785;0.0063
786;0.0062
787;0.0066
788;0.0055
789;0.0055
