Created as New Dataset;Sample 1471 By Administrator Date tirsdag, november 28 2017
cm-1;%T
3650,00;92,57
3649,00;92,46
3648,00;92,44
3647,00;92,48
3646,00;92,52
3645,00;92,54
3644,00;92,54
3643,00;92,51
3642,00;92,44
3641,00;92,32
3640,00;92,18
3639,00;92,05
3638,00;91,92
3637,00;91,78
3636,00;91,64
3635,00;91,51
3634,00;91,37
3633,00;91,18
3632,00;90,91
3631,00;90,64
3630,00;90,48
3629,00;90,48
3628,00;90,55
3627,00;90,58
3626,00;90,58
3625,00;90,62
3624,00;90,63
3623,00;90,53
3622,00;90,35
3621,00;90,16
3620,00;90,03
3619,00;89,98
3618,00;89,95
3617,00;89,90
3616,00;89,85
3615,00;89,82
3614,00;89,79
3613,00;89,74
3612,00;89,66
3611,00;89,58
3610,00;89,53
3609,00;89,55
3608,00;89,60
3607,00;89,65
3606,00;89,67
3605,00;89,67
3604,00;89,66
3603,00;89,63
3602,00;89,60
3601,00;89,56
3600,00;89,53
3599,00;89,49
3598,00;89,46
3597,00;89,43
3596,00;89,42
3595,00;89,44
3594,00;89,47
3593,00;89,47
3592,00;89,44
3591,00;89,37
3590,00;89,28
3589,00;89,23
3588,00;89,25
3587,00;89,32
3586,00;89,40
3585,00;89,46
3584,00;89,53
3583,00;89,59
3582,00;89,63
3581,00;89,65
3580,00;89,66
3579,00;89,66
3578,00;89,67
3577,00;89,67
3576,00;89,69
3575,00;89,71
3574,00;89,73
3573,00;89,73
3572,00;89,69
3571,00;89,62
3570,00;89,53
3569,00;89,45
3568,00;89,44
3567,00;89,50
3566,00;89,59
3565,00;89,68
3564,00;89,76
3563,00;89,83
3562,00;89,89
3561,00;89,93
3560,00;89,97
3559,00;89,99
3558,00;90,02
3557,00;90,03
3556,00;90,03
3555,00;90,02
3554,00;90,02
3553,00;90,02
3552,00;90,04
3551,00;90,05
3550,00;90,05
3549,00;90,04
3548,00;90,04
3547,00;90,05
3546,00;90,08
3545,00;90,12
3544,00;90,17
3543,00;90,22
3542,00;90,26
3541,00;90,29
3540,00;90,30
3539,00;90,30
3538,00;90,29
3537,00;90,29
3536,00;90,30
3535,00;90,31
3534,00;90,32
3533,00;90,32
3532,00;90,30
3531,00;90,29
3530,00;90,27
3529,00;90,26
3528,00;90,26
3527,00;90,27
3526,00;90,27
3525,00;90,28
3524,00;90,30
3523,00;90,32
3522,00;90,34
3521,00;90,35
3520,00;90,36
3519,00;90,37
3518,00;90,38
3517,00;90,38
3516,00;90,37
3515,00;90,36
3514,00;90,34
3513,00;90,32
3512,00;90,29
3511,00;90,28
3510,00;90,28
3509,00;90,28
3508,00;90,28
3507,00;90,27
3506,00;90,25
3505,00;90,22
3504,00;90,21
3503,00;90,20
3502,00;90,20
3501,00;90,20
3500,00;90,20
3499,00;90,20
3498,00;90,19
3497,00;90,17
3496,00;90,16
3495,00;90,15
3494,00;90,14
3493,00;90,13
3492,00;90,11
3491,00;90,09
3490,00;90,07
3489,00;90,05
3488,00;90,03
3487,00;90,02
3486,00;90,00
3485,00;89,98
3484,00;89,96
3483,00;89,94
3482,00;89,92
3481,00;89,91
3480,00;89,90
3479,00;89,89
3478,00;89,88
3477,00;89,87
3476,00;89,85
3475,00;89,83
3474,00;89,81
3473,00;89,79
3472,00;89,77
3471,00;89,75
3470,00;89,73
3469,00;89,70
3468,00;89,68
3467,00;89,66
3466,00;89,64
3465,00;89,62
3464,00;89,60
3463,00;89,58
