C:\Users\emilbp\PhD\Projects\graphene-production\data\derived_data\xps\20170920_Gr-NH2_for_Radisurf\GrNH2.vms
Survey/2
	Characteristic Energy eV	1486.69	Acquisition Time s	0.2
KE_Survey/2	BE_Survey/2	CPS_Survey/2	Background_Survey/2
238.706	1247.98	61560	61560
239.206	1247.48	61805	61805
239.706	1246.98	61410	61410
240.206	1246.48	62235	62235
240.706	1245.98	61690	61690
241.206	1245.48	61590	61590
241.706	1244.98	61990	61990
242.206	1244.48	62375	62375
242.706	1243.98	62000	62000
243.206	1243.48	61895	61895
243.706	1242.98	62560	62560
244.206	1242.48	62355	62355
244.706	1241.98	61520	61520
245.206	1241.48	61895	61895
245.706	1240.98	62210	62210
246.206	1240.48	62060	62060
246.706	1239.98	62430	62430
247.206	1239.48	62380	62380
247.706	1238.98	62045	62045
248.206	1238.48	62015	62015
248.706	1237.98	62930	62930
249.206	1237.48	61855	61855
249.706	1236.98	62095	62095
250.206	1236.48	62155	62155
250.706	1235.98	61765	61765
251.206	1235.48	62565	62565
251.706	1234.98	62645	62645
252.206	1234.48	63300	63300
252.706	1233.98	63125	63125
253.206	1233.48	64850	64850
253.706	1232.98	64710	64710
254.206	1232.48	64120	64120
254.706	1231.98	65155	65155
255.206	1231.48	66230	66230
255.706	1230.98	66825	66825
256.206	1230.48	66440	66440
256.706	1229.98	67100	67100
257.206	1229.48	67385	67385
257.706	1228.98	68365	68365
258.206	1228.48	68610	68610
258.706	1227.98	68755	68755
259.206	1227.48	68355	68355
259.706	1226.98	68240	68240
260.206	1226.48	68230	68230
260.706	1225.98	68755	68755
261.206	1225.48	68765	68765
261.706	1224.98	69075	69075
262.206	1224.48	68770	68770
262.706	1223.98	68095	68095
263.206	1223.48	68240	68240
263.706	1222.98	69030	69030
264.206	1222.48	67980	67980
264.706	1221.98	67785	67785
265.206	1221.48	67380	67380
265.706	1220.98	66260	66260
266.206	1220.48	66120	66120
266.706	1219.98	64430	64430
267.206	1219.48	64835	64835
267.706	1218.98	64560	64560
268.206	1218.48	63525	63525
268.706	1217.98	62580	62580
269.206	1217.48	61710	61710
269.706	1216.98	60170	60170
270.206	1216.48	59540	59540
270.706	1215.98	59440	59440
271.206	1215.48	58560	58560
271.706	1214.98	57975	57975
272.206	1214.48	56560	56560
272.706	1213.98	55075	55075
273.206	1213.48	53870	53870
273.706	1212.98	52330	52330
274.206	1212.48	51450	51450
274.706	1211.98	51260	51260
275.206	1211.48	50325	50325
275.706	1210.98	49425	49425
276.206	1210.48	48615	48615
276.706	1209.98	47820	47820
277.206	1209.48	47420	47420
277.706	1208.98	46210	46210
278.206	1208.48	45375	45375
278.706	1207.98	45390	45390
279.206	1207.48	44525	44525
279.706	1206.98	43910	43910
280.206	1206.48	44075	44075
280.706	1205.98	43105	43105
281.206	1205.48	43095	43095
281.706	1204.98	42220	42220
282.206	1204.48	42515	42515
282.706	1203.98	41890	41890
283.206	1203.48	41855	41855
283.706	1202.98	42005	42005
284.206	1202.48	41900	41900
284.706	1201.98	41035	41035
285.206	1201.48	41695	41695
285.706	1200.98	41025	41025
286.206	1200.48	41095	41095
286.706	1199.98	41195	41195
287.206	1199.48	42230	42230
287.706	1198.98	41500	41500
288.206	1198.48	40505	40505
288.706	1197.98	40630	40630
289.206	1197.48	41275	41275
289.706	1196.98	41525	41525
290.206	1196.48	42240	42240
290.706	1195.98	41905	41905
291.206	1195.48	41835	41835
291.706	1194.98	41300	41300
292.206	1194.48	42090	42090
292.706	1193.98	41950	41950
293.206	1193.48	41600	41600
293.706	1192.98	42235	42235
294.206	1192.48	41480	41480
294.706	1191.98	41580	41580
295.206	1191.48	41350	41350
295.706	1190.98	42040	42040
296.206	1190.48	41885	41885
296.706	1189.98	41250	41250
297.206	1189.48	42835	42835
297.706	1188.98	42190	42190
298.206	1188.48	41625	41625
298.706	1187.98	41450	41450
299.206	1187.48	41725	41725
299.706	1186.98	40710	40710
300.206	1186.48	41180	41180
300.706	1185.98	41915	41915
301.206	1185.48	42050	42050
301.706	1184.98	41825	41825
302.206	1184.48	41510	41510
302.706	1183.98	41575	41575
303.206	1183.48	42490	42490
303.706	1182.98	42170	42170
304.206	1182.48	42080	42080
304.706	1181.98	42290	42290
305.206	1181.48	41845	41845
305.706	1180.98	42265	42265
306.206	1180.48	42205	42205
306.706	1179.98	41915	41915
307.206	1179.48	43200	43200
307.706	1178.98	42710	42710
308.206	1178.48	42800	42800
308.706	1177.98	42735	42735
309.206	1177.48	42870	42870
309.706	1176.98	43580	43580
310.206	1176.48	42935	42935
310.706	1175.98	42905	42905
311.206	1175.48	42305	42305
311.706	1174.98	43020	43020
312.206	1174.48	42685	42685
312.706	1173.98	42630	42630
313.206	1173.48	43290	43290
313.706	1172.98	43315	43315
314.206	1172.48	42630	42630
314.706	1171.98	43010	43010
315.206	1171.48	43190	43190
315.706	1170.98	42990	42990
316.206	1170.48	42430	42430
316.706	1169.98	42770	42770
317.206	1169.48	42425	42425
317.706	1168.98	42490	42490
318.206	1168.48	42830	42830
318.706	1167.98	42870	42870
319.206	1167.48	43065	43065
319.706	1166.98	43485	43485
320.206	1166.48	43590	43590
320.706	1165.98	42980	42980
321.206	1165.48	44165	44165
321.706	1164.98	44090	44090
322.206	1164.48	43185	43185
322.706	1163.98	43725	43725
323.206	1163.48	43370	43370
323.706	1162.98	43110	43110
324.206	1162.48	43795	43795
324.706	1161.98	43805	43805
325.206	1161.48	43695	43695
325.706	1160.98	44190	44190
326.206	1160.48	44240	44240
326.706	1159.98	43220	43220
327.206	1159.48	43355	43355
327.706	1158.98	43070	43070
328.206	1158.48	43260	43260
328.706	1157.98	44620	44620
329.206	1157.48	44550	44550
329.706	1156.98	43775	43775
330.206	1156.48	43990	43990
330.706	1155.98	44115	44115
331.206	1155.48	44030	44030
331.706	1154.98	44020	44020
332.206	1154.48	44060	44060
332.706	1153.98	44230	44230
333.206	1153.48	44495	44495
333.706	1152.98	44240	44240
334.206	1152.48	44830	44830
334.706	1151.98	44155	44155
335.206	1151.48	43900	43900
335.706	1150.98	44625	44625
336.206	1150.48	44780	44780
336.706	1149.98	44660	44660
337.206	1149.48	44900	44900
337.706	1148.98	45335	45335
338.206	1148.48	44615	44615
338.706	1147.98	44970	44970
339.206	1147.48	44645	44645
339.706	1146.98	44365	44365
340.206	1146.48	44870	44870
340.706	1145.98	44755	44755
341.206	1145.48	44990	44990
341.706	1144.98	44475	44475
342.206	1144.48	44700	44700
342.706	1143.98	44905	44905
343.206	1143.48	44190	44190
343.706	1142.98	45055	45055
344.206	1142.48	46025	46025
344.706	1141.98	45820	45820
345.206	1141.48	45505	45505
345.706	1140.98	45170	45170
346.206	1140.48	45385	45385
346.706	1139.98	45300	45300
347.206	1139.48	45335	45335
347.706	1138.98	45460	45460
348.206	1138.48	45145	45145
348.706	1137.98	45040	45040
349.206	1137.48	44730	44730
349.706	1136.98	45685	45685
350.206	1136.48	45790	45790
350.706	1135.98	45815	45815
351.206	1135.48	46250	46250
351.706	1134.98	45445	45445
352.206	1134.48	45495	45495
352.706	1133.98	45660	45660
353.206	1133.48	45660	45660
353.706	1132.98	45785	45785
354.206	1132.48	46120	46120
354.706	1131.98	46630	46630
355.206	1131.48	46435	46435
355.706	1130.98	46855	46855
356.206	1130.48	45745	45745
356.706	1129.98	46215	46215
357.206	1129.48	46430	46430
357.706	1128.98	46580	46580
358.206	1128.48	46720	46720
358.706	1127.98	47010	47010
359.206	1127.48	46435	46435
359.706	1126.98	46510	46510
360.206	1126.48	46805	46805
360.706	1125.98	46190	46190
361.206	1125.48	46530	46530
361.706	1124.98	46365	46365
362.206	1124.48	45885	45885
362.706	1123.98	46730	46730
363.206	1123.48	46415	46415
363.706	1122.98	46290	46290
364.206	1122.48	46275	46275
364.706	1121.98	46845	46845
365.206	1121.48	47195	47195
365.706	1120.98	47705	47705
366.206	1120.48	47025	47025
366.706	1119.98	46570	46570
367.206	1119.48	46900	46900
367.706	1118.98	46925	46925
368.206	1118.48	46930	46930
368.706	1117.98	46985	46985
369.206	1117.48	47020	47020
369.706	1116.98	46885	46885
370.206	1116.48	47640	47640
370.706	1115.98	46885	46885
