C:\Users\emilbp\PhD\Projects\graphene-production\data\derived_data\xps\20170920_Gr-NH2_for_Radisurf\GrNH2.vms
Survey/5
	Characteristic Energy eV	1486.69	Acquisition Time s	0.2
KE_Survey/5	BE_Survey/5	CPS_Survey/5	Background_Survey/5
136.68	1350.01	59040	59040
137.18	1349.51	58655	58655
137.68	1349.01	58740	58740
138.18	1348.51	58540	58540
138.68	1348.01	59245	59245
139.18	1347.51	59395	59395
139.68	1347.01	58695	58695
140.18	1346.51	58980	58980
140.68	1346.01	58690	58690
141.18	1345.51	59400	59400
141.68	1345.01	59935	59935
142.18	1344.51	59210	59210
142.68	1344.01	58840	58840
143.18	1343.51	58995	58995
143.68	1343.01	58420	58420
144.18	1342.51	59030	59030
144.68	1342.01	58070	58070
145.18	1341.51	58105	58105
145.68	1341.01	58125	58125
146.18	1340.51	59220	59220
146.68	1340.01	59375	59375
147.18	1339.51	57795	57795
147.68	1339.01	58625	58625
148.18	1338.51	59000	59000
148.68	1338.01	59250	59250
149.18	1337.51	58325	58325
149.68	1337.01	59115	59115
150.18	1336.51	58155	58155
150.68	1336.01	58670	58670
151.18	1335.51	58995	58995
151.68	1335.01	58730	58730
152.18	1334.51	58950	58950
152.68	1334.01	59100	59100
153.18	1333.51	59710	59710
153.68	1333.01	59275	59275
154.18	1332.51	59595	59595
154.68	1332.01	59430	59430
155.18	1331.51	59090	59090
155.68	1331.01	59240	59240
156.18	1330.51	59385	59385
156.68	1330.01	59320	59320
157.18	1329.51	58825	58825
157.68	1329.01	59750	59750
158.18	1328.51	59530	59530
158.68	1328.01	59510	59510
159.18	1327.51	58985	58985
159.68	1327.01	58230	58230
160.18	1326.51	58810	58810
160.68	1326.01	58735	58735
161.18	1325.51	59385	59385
161.68	1325.01	59535	59535
162.18	1324.51	59650	59650
162.68	1324.01	59410	59410
163.18	1323.51	59060	59060
163.68	1323.01	59515	59515
164.18	1322.51	59590	59590
164.68	1322.01	59395	59395
165.18	1321.51	59585	59585
165.68	1321.01	60075	60075
166.18	1320.51	59930	59930
166.68	1320.01	60305	60305
167.18	1319.51	60185	60185
167.68	1319.01	60675	60675
168.18	1318.51	60410	60410
168.68	1318.01	60175	60175
169.18	1317.51	59645	59645
169.68	1317.01	59660	59660
170.18	1316.51	59955	59955
170.68	1316.01	59540	59540
171.18	1315.51	59855	59855
171.68	1315.01	59930	59930
172.18	1314.51	59310	59310
172.68	1314.01	59005	59005
173.18	1313.51	60170	60170
173.68	1313.01	59980	59980
174.18	1312.51	59190	59190
174.68	1312.01	58985	58985
175.18	1311.51	59765	59765
175.68	1311.01	60145	60145
176.18	1310.51	59375	59375
176.68	1310.01	59545	59545
177.18	1309.51	58985	58985
177.68	1309.01	59395	59395
178.18	1308.51	60275	60275
178.68	1308.01	59915	59915
179.18	1307.51	60310	60310
179.68	1307.01	61955	61955
180.18	1306.51	62230	62230
180.68	1306.01	61920	61920
181.18	1305.51	62715	62715
181.68	1305.01	63275	63275
182.18	1304.51	65200	65200
182.68	1304.01	64585	64585
183.18	1303.51	63990	63990
183.68	1303.01	64215	64215
184.18	1302.51	63115	63115
