Created as New Dataset;Sample 1001 By Administrator Date fredag, september 22 2017
cm-1;%T
3650,00;83,45
3649,00;83,47
3648,00;83,69
3647,00;83,98
3646,00;84,32
3645,00;84,65
3644,00;84,93
3643,00;85,12
3642,00;85,20
3641,00;85,18
3640,00;85,13
3639,00;85,09
3638,00;85,05
3637,00;84,99
3636,00;84,91
3635,00;84,85
3634,00;84,77
3633,00;84,58
3632,00;84,25
3631,00;83,91
3630,00;83,77
3629,00;83,94
3628,00;84,26
3627,00;84,48
3626,00;84,64
3625,00;84,87
3624,00;85,03
3623,00;84,95
3622,00;84,72
3621,00;84,47
3620,00;84,33
3619,00;84,32
3618,00;84,34
3617,00;84,34
3616,00;84,34
3615,00;84,38
3614,00;84,42
3613,00;84,43
3612,00;84,38
3611,00;84,33
3610,00;84,36
3609,00;84,48
3608,00;84,66
3607,00;84,80
3606,00;84,88
3605,00;84,93
3604,00;84,95
3603,00;84,93
3602,00;84,88
3601,00;84,81
3600,00;84,75
3599,00;84,68
3598,00;84,62
3597,00;84,59
3596,00;84,60
3595,00;84,65
3594,00;84,71
3593,00;84,75
3592,00;84,72
3591,00;84,62
3590,00;84,48
3589,00;84,39
3588,00;84,40
3587,00;84,52
3586,00;84,66
3585,00;84,77
3584,00;84,89
3583,00;85,00
3582,00;85,06
3581,00;85,06
3580,00;85,04
3579,00;85,01
3578,00;84,99
3577,00;84,97
3576,00;84,96
3575,00;84,97
3574,00;84,97
3573,00;84,95
3572,00;84,87
3571,00;84,72
3570,00;84,51
3569,00;84,31
3568,00;84,21
3567,00;84,26
3566,00;84,39
3565,00;84,50
3564,00;84,61
3563,00;84,73
3562,00;84,83
3561,00;84,90
3560,00;84,93
3559,00;84,96
3558,00;84,98
3557,00;84,98
3556,00;84,95
3555,00;84,90
3554,00;84,86
3553,00;84,84
3552,00;84,83
3551,00;84,80
3550,00;84,76
3549,00;84,71
3548,00;84,68
3547,00;84,67
3546,00;84,69
3545,00;84,74
3544,00;84,80
3543,00;84,86
3542,00;84,92
3541,00;84,96
3540,00;84,97
3539,00;84,96
3538,00;84,95
3537,00;84,94
3536,00;84,94
3535,00;84,94
3534,00;84,94
3533,00;84,92
3532,00;84,89
3531,00;84,85
3530,00;84,79
3529,00;84,74
3528,00;84,71
3527,00;84,69
3526,00;84,67
3525,00;84,69
3524,00;84,73
3523,00;84,78
3522,00;84,83
3521,00;84,86
3520,00;84,88
3519,00;84,91
3518,00;84,93
3517,00;84,94
3516,00;84,95
3515,00;84,94
3514,00;84,93
3513,00;84,90
3512,00;84,86
3511,00;84,83
3510,00;84,81
3509,00;84,82
3508,00;84,82
3507,00;84,81
3506,00;84,79
3505,00;84,77
3504,00;84,76
3503,00;84,76
3502,00;84,77
3501,00;84,80
3500,00;84,84
3499,00;84,87
3498,00;84,90
3497,00;84,91
3496,00;84,91
3495,00;84,91
3494,00;84,90
3493,00;84,91
3492,00;84,90
3491,00;84,90
3490,00;84,89
3489,00;84,88
3488,00;84,87
3487,00;84,87
3486,00;84,87
3485,00;84,86
3484,00;84,84
3483,00;84,84
3482,00;84,84
3481,00;84,85
3480,00;84,86
3479,00;84,87
3478,00;84,89
3477,00;84,90
3476,00;84,91
3475,00;84,91
3474,00;84,91
3473,00;84,91
3472,00;84,90
3471,00;84,90
3470,00;84,90
3469,00;84,89
3468,00;84,89
3467,00;84,88
3466,00;84,88
3465,00;84,87
3464,00;84,86
3463,00;84,86
3462,00;84,85
3461,00;84,85
3460,00;84,85
3459,00;84,85
3458,00;84,87
3457,00;84,88
3456,00;84,89
3455,00;84,89
3454,00;84,89
3453,00;84,88
3452,00;84,87
3451,00;84,85
3450,00;84,81
3449,00;84,77
3448,00;84,74
3447,00;84,73
3446,00;84,73
3445,00;84,74
3444,00;84,76
3443,00;84,78
3442,00;84,81
3441,00;84,82
3440,00;84,83
3439,00;84,83
3438,00;84,84
3437,00;84,85
3436,00;84,85
3435,00;84,84
3434,00;84,84
3433,00;84,83
3432,00;84,83
3431,00;84,83
3430,00;84,82
3429,00;84,82
3428,00;84,81
3427,00;84,81
3426,00;84,80
3425,00;84,79
3424,00;84,78
3423,00;84,76
3422,00;84,74
3421,00;84,73
3420,00;84,73
3419,00;84,74
3418,00;84,75
3417,00;84,77
3416,00;84,79
3415,00;84,79
3414,00;84,79
3413,00;84,79
3412,00;84,78
3411,00;84,77
3410,00;84,77
3409,00;84,77
3408,00;84,76
3407,00;84,76
3406,00;84,76
3405,00;84,75
3404,00;84,75
3403,00;84,75
3402,00;84,74
3401,00;84,73
3400,00;84,72
3399,00;84,72
3398,00;84,71
3397,00;84,71
3396,00;84,70
3395,00;84,69
3394,00;84,69
3393,00;84,69
3392,00;84,69
3391,00;84,69
3390,00;84,70
3389,00;84,70
3388,00;84,70
3387,00;84,69
3386,00;84,69
3385,00;84,68
3384,00;84,68
3383,00;84,68
3382,00;84,68
3381,00;84,69
3380,00;84,69
3379,00;84,69
3378,00;84,69
3377,00;84,68
3376,00;84,68
3375,00;84,68
3374,00;84,68
3373,00;84,68
3372,00;84,67
3371,00;84,66
3370,00;84,66
3369,00;84,65
3368,00;84,64
3367,00;84,63
3366,00;84,63
3365,00;84,63
3364,00;84,62
3363,00;84,62
3362,00;84,63
3361,00;84,63
3360,00;84,63
3359,00;84,62
3358,00;84,62
3357,00;84,61
3356,00;84,61
3355,00;84,61
3354,00;84,62
3353,00;84,62
3352,00;84,62
3351,00;84,62
3350,00;84,62
3349,00;84,62
3348,00;84,62
3347,00;84,62
3346,00;84,61
3345,00;84,61
3344,00;84,61
3343,00;84,61
3342,00;84,61
3341,00;84,61
3340,00;84,60
3339,00;84,59
3338,00;84,58
3337,00;84,57
3336,00;84,57
3335,00;84,56
3334,00;84,56
3333,00;84,57
3332,00;84,57
3331,00;84,56
3330,00;84,56
3329,00;84,56
3328,00;84,56
3327,00;84,56
3326,00;84,56
3325,00;84,56
3324,00;84,56
3323,00;84,56
3322,00;84,56
3321,00;84,56
3320,00;84,56
3319,00;84,56
3318,00;84,56
3317,00;84,56
3316,00;84,55
3315,00;84,54
3314,00;84,54
3313,00;84,53
3312,00;84,53
3311,00;84,52
3310,00;84,51
3309,00;84,51
3308,00;84,52
3307,00;84,52
3306,00;84,53
3305,00;84,53
3304,00;84,53
3303,00;84,53
3302,00;84,53
3301,00;84,52
3300,00;84,52
3299,00;84,52
3298,00;84,51
3297,00;84,51
3296,00;84,51
3295,00;84,50
3294,00;84,50
3293,00;84,50
3292,00;84,49
3291,00;84,49
3290,00;84,49
3289,00;84,50
3288,00;84,50
3287,00;84,50
3286,00;84,49
3285,00;84,49
3284,00;84,49
3283,00;84,49
3282,00;84,48
3281,00;84,48
3280,00;84,47
3279,00;84,46
3278,00;84,46
3277,00;84,45
3276,00;84,45
3275,00;84,45
3274,00;84,45
3273,00;84,45
3272,00;84,46
3271,00;84,47
3270,00;84,47
3269,00;84,47
3268,00;84,47
3267,00;84,46
3266,00;84,46
3265,00;84,45
3264,00;84,45
3263,00;84,46
3262,00;84,46
3261,00;84,45
3260,00;84,45
3259,00;84,44
3258,00;84,44
3257,00;84,43
3256,00;84,43
3255,00;84,43
3254,00;84,43
3253,00;84,42
3252,00;84,42
3251,00;84,43
3250,00;84,44
3249,00;84,44
3248,00;84,43
3247,00;84,42
3246,00;84,42
3245,00;84,41
3244,00;84,41
3243,00;84,41
3242,00;84,41
3241,00;84,41
3240,00;84,42
3239,00;84,42
3238,00;84,42
3237,00;84,42
3236,00;84,42
3235,00;84,42
3234,00;84,41
3233,00;84,41
3232,00;84,40
3231,00;84,40
3230,00;84,39
3229,00;84,39
3228,00;84,38
3227,00;84,39
3226,00;84,39
3225,00;84,39
3224,00;84,38
3223,00;84,37
3222,00;84,37
3221,00;84,36
3220,00;84,35
3219,00;84,35
3218,00;84,35
3217,00;84,35
3216,00;84,35
3215,00;84,35
3214,00;84,34
3213,00;84,34
3212,00;84,33
3211,00;84,33
3210,00;84,33
3209,00;84,34
3208,00;84,35
3207,00;84,36
3206,00;84,36
3205,00;84,36
3204,00;84,36
3203,00;84,35
3202,00;84,35
3201,00;84,34
3200,00;84,33
3199,00;84,32
3198,00;84,31
3197,00;84,30
3196,00;84,29
3195,00;84,29
3194,00;84,29
3193,00;84,30
3192,00;84,30
3191,00;84,31
3190,00;84,31
3189,00;84,31
3188,00;84,30
3187,00;84,29
3186,00;84,29
3185,00;84,28
3184,00;84,27
3183,00;84,27
3182,00;84,26
3181,00;84,26
3180,00;84,25
3179,00;84,24
3178,00;84,24
3177,00;84,24
3176,00;84,24
3175,00;84,25
3174,00;84,25
3173,00;84,26
3172,00;84,25
3171,00;84,25
3170,00;84,24
3169,00;84,24
3168,00;84,24
3167,00;84,23
3166,00;84,23
3165,00;84,23
3164,00;84,22
3163,00;84,21
3162,00;84,21
3161,00;84,20
3160,00;84,20
3159,00;84,20
3158,00;84,20
3157,00;84,19
3156,00;84,19
3155,00;84,19
3154,00;84,19
3153,00;84,19
3152,00;84,19
3151,00;84,19
3150,00;84,18
3149,00;84,17
3148,00;84,16
3147,00;84,16
3146,00;84,16
3145,00;84,16
3144,00;84,16
3143,00;84,16
3142,00;84,15
3141,00;84,15
3140,00;84,15
3139,00;84,15
3138,00;84,15
3137,00;84,14
3136,00;84,13
3135,00;84,12
3134,00;84,11
3133,00;84,10
3132,00;84,10
3131,00;84,10
3130,00;84,11
3129,00;84,11
3128,00;84,10
3127,00;84,09
3126,00;84,08
3125,00;84,07
3124,00;84,06
3123,00;84,06
3122,00;84,06
3121,00;84,07
3120,00;84,07
3119,00;84,07
3118,00;84,07
3117,00;84,07
3116,00;84,07
3115,00;84,06
3114,00;84,05
3113,00;84,05
3112,00;84,05
3111,00;84,05
3110,00;84,06
3109,00;84,06
3108,00;84,06
3107,00;84,05
3106,00;84,04
3105,00;84,03
3104,00;84,02
3103,00;84,02
3102,00;84,01
3101,00;84,01
3100,00;84,01
3099,00;84,01
3098,00;84,00
3097,00;84,00
3096,00;84,00
3095,00;83,99
3094,00;83,99
3093,00;84,00
3092,00;84,01
3091,00;84,02
3090,00;84,02
3089,00;84,02
3088,00;84,02
3087,00;84,01
3086,00;84,01
3085,00;84,01
3084,00;84,01
3083,00;84,00
3082,00;83,98
3081,00;83,97
3080,00;83,96
3079,00;83,96
3078,00;83,96
3077,00;83,97
3076,00;83,97
3075,00;83,98
3074,00;83,98
3073,00;83,97
3072,00;83,97
3071,00;83,96
3070,00;83,95
3069,00;83,95
3068,00;83,94
3067,00;83,93
3066,00;83,92
3065,00;83,91
3064,00;83,91
3063,00;83,91
3062,00;83,92
3061,00;83,92
3060,00;83,92
3059,00;83,92
3058,00;83,91
3057,00;83,91
