70min.csv;;Kemi1\Kemi01;29-09-2017 14:03:50;GENESYS 10S UV-Vis;2L9T161212;4.006
nm;A
200;2.9666
201;2.9996
202;3.0744
203;3.1288
204;3.1267
205;3.1679
206;3.1791
207;3.1757
208;3.1327
209;3.1704
210;3.135
211;3.1251
212;3.1147
213;3.1075
214;3.1063
215;3.0668
216;3.0529
217;3.0522
218;3.0488
219;3.0358
220;3.0388
221;3.0385
222;3.0437
223;3.0506
224;3.0731
225;3.0635
226;3.0854
227;3.1016
228;3.1237
229;3.1312
230;3.1297
231;3.1163
232;3.1061
233;3.0955
234;3.0952
235;3.0931
236;3.0927
237;3.0854
238;3.0783
239;3.0726
240;3.0711
241;3.0835
242;3.0885
243;3.084
244;3.0739
245;3.0584
246;3.0592
247;3.066
248;3.0626
249;3.051
250;3.0332
251;3.0161
252;3.0164
253;3.0207
254;2.9893
255;2.9669
256;2.9623
257;2.9547
258;2.9528
259;2.9597
260;2.9607
261;2.9536
262;2.9593
263;2.9107
264;2.8993
265;2.8896
266;2.876
267;2.8705
268;2.8612
269;2.8493
270;2.8431
271;2.8493
272;2.8499
273;2.8393
274;2.8339
275;2.829
276;2.8289
277;2.8292
278;2.8289
279;2.8253
280;2.8291
281;2.8309
282;2.8365
283;2.8405
284;2.8401
285;2.8447
286;2.8543
287;2.8593
288;2.8643
289;2.8533
290;2.8624
291;2.871
292;2.8725
293;2.8745
294;2.8847
295;2.8957
296;2.9028
297;2.9113
298;2.909
299;2.8435
300;2.6762
301;2.4329
302;2.2114
303;2.0296
304;1.8986
305;1.8207
306;1.7829
307;1.7741
308;1.7863
309;1.8128
310;1.8539
311;1.9084
312;1.9684
313;2.0345
314;2.1144
315;2.1879
316;2.2585
317;2.3397
318;2.4182
319;2.488
320;2.5427
321;2.5957
322;2.649
323;2.701
324;2.7387
325;2.748
326;2.7669
327;2.7731
328;2.7719
329;2.7797
330;2.7816
331;2.7872
332;2.7981
333;2.8024
334;2.7942
335;2.7914
336;2.784
337;2.7801
338;2.7784
339;2.7724
340;2.7645
341;2.7643
342;2.7608
343;2.77
344;2.7778
345;2.7777
346;2.7728
347;2.7491
348;2.7365
349;2.7318
350;2.7317
351;2.725
352;2.7235
353;2.7286
354;2.7255
355;2.7197
356;2.7113
357;2.7075
358;2.6733
359;2.608
360;2.5412
361;2.4415
362;2.3178
363;2.1488
364;1.9457
365;1.7579
366;1.5851
367;1.418
368;1.2582
369;1.1051
370;0.9649
371;0.8464
372;0.7441
373;0.6456
374;0.5625
375;0.4937
376;0.433
377;0.3858
378;0.3495
379;0.3145
380;0.2807
381;0.2545
382;0.233
383;0.2149
384;0.2003
385;0.1881
386;0.1769
387;0.168
388;0.1606
389;0.1547
390;0.149
391;0.1443
392;0.1403
393;0.1368
394;0.1334
395;0.1312
396;0.1284
397;0.1259
398;0.1234
399;0.1216
400;0.1197
401;0.1177
402;0.1165
403;0.1154
404;0.1139
405;0.1123
406;0.1108
407;0.1098
408;0.1087
409;0.1077
410;0.1064
411;0.1056
412;0.1044
413;0.1036
414;0.103
415;0.1021
416;0.1011
417;0.1004
418;0.0991
419;0.0983
420;0.0975
421;0.0968
422;0.0961
423;0.0953
424;0.0948
425;0.0941
426;0.0933
427;0.0928
428;0.0921
429;0.0914
430;0.091
431;0.0903
432;0.0896
433;0.0891
434;0.0884
435;0.0877
436;0.0873
437;0.0861
438;0.0858
439;0.085
440;0.084
441;0.0835
442;0.0827
443;0.0824
444;0.0817
445;0.0808
446;0.0802
447;0.0797
448;0.079
449;0.0787
450;0.0782
451;0.0773
452;0.0766
453;0.0758
454;0.0756
455;0.0746
456;0.0738
457;0.0732
458;0.0726
459;0.0714
460;0.0713
461;0.0704
462;0.07
463;0.0689
464;0.0689
465;0.0681
466;0.0671
467;0.0669
468;0.0662
469;0.0647
470;0.0647
471;0.0635
472;0.0631
473;0.0624
474;0.0617
475;0.0606
476;0.0596
477;0.0588
478;0.0586
479;0.0578
480;0.057
481;0.0564
482;0.0548
483;0.0542
484;0.0536
485;0.0528
486;0.0525
487;0.0513
488;0.0508
489;0.0501
490;0.0492
491;0.0486
492;0.0481
493;0.0473
494;0.0468
495;0.0457
496;0.0446
497;0.0441
498;0.0434
499;0.0431
500;0.042
501;0.0409
502;0.0403
503;0.0391
504;0.0388
505;0.0382
506;0.037
507;0.0369
508;0.0369
509;0.0358
510;0.0352
511;0.0344
512;0.0345
513;0.0332
514;0.0326
515;0.0323
516;0.0318
517;0.031
518;0.0308
519;0.0296
520;0.0293
521;0.0284
522;0.0289
523;0.0285
524;0.0269
525;0.0268
526;0.0265
527;0.026
528;0.0263
529;0.0255
530;0.0256
531;0.0244
532;0.0239
533;0.024
534;0.024
535;0.0228
536;0.0224
537;0.0216
538;0.022
539;0.0213
540;0.0204
541;0.0213
542;0.0205
543;0.0204
544;0.0195
545;0.0196
546;0.019
547;0.0186
548;0.0193
549;0.0181
550;0.0178
551;0.018
552;0.0176
553;0.0172
554;0.0169
555;0.0168
556;0.0163
557;0.0162
558;0.0161
559;0.0161
560;0.0156
561;0.0149
562;0.0148
563;0.0153
564;0.0144
565;0.0145
566;0.0144
567;0.0146
568;0.014
569;0.0141
570;0.014
571;0.0138
572;0.0145
573;0.0134
574;0.0133
575;0.013
576;0.013
577;0.0124
578;0.0129
579;0.0125
580;0.0127
581;0.0118
582;0.0124
583;0.0114
584;0.0117
585;0.0113
586;0.0113
587;0.0117
588;0.0113
589;0.0114
590;0.0107
591;0.0111
592;0.0109
593;0.0114
594;0.0117
595;0.0113
596;0.0109
597;0.0109
598;0.012
599;0.0111
600;0.0116
601;0.01
602;0.0111
603;0.0095
604;0.0103
605;0.0103
606;0.0105
607;0.01
608;0.0102
609;0.01
610;0.01
611;0.0096
612;0.0098
613;0.0102
614;0.0092
615;0.0096
616;0.0088
617;0.0095
618;0.0088
619;0.0091
620;0.0096
621;0.0086
622;0.0094
623;0.0088
624;0.0086
625;0.0087
626;0.0083
627;0.0084
628;0.0087
629;0.0087
630;0.0086
631;0.0087
632;0.0081
633;0.0086
634;0.0088
635;0.0079
636;0.008
637;0.0078
638;0.0082
639;0.0078
640;0.0083
641;0.0072
642;0.0082
643;0.0076
644;0.0074
645;0.0072
646;0.0072
647;0.0071
648;0.0074
649;0.0079
650;0.0072
651;0.0073
652;0.0074
653;0.0072
654;0.0073
655;0.007
656;0.007
657;0.0075
658;0.0075
659;0.0066
660;0.0074
661;0.0071
662;0.0073
663;0.0066
664;0.0066
665;0.0061
666;0.0058
667;0.007
668;0.0072
669;0.0069
670;0.0064
671;0.0066
672;0.0063
673;0.0058
674;0.0066
675;0.0065
676;0.0065
677;0.0062
678;0.006
679;0.0064
680;0.0063
681;0.0067
682;0.0062
683;0.0069
684;0.0055
685;0.0065
686;0.0061
687;0.0065
688;0.0059
689;0.0058
690;0.0056
691;0.0059
692;0.0053
693;0.0052
694;0.0051
695;0.0059
696;0.0055
697;0.0056
698;0.0055
699;0.0054
700;0.0056
701;0.0058
702;0.0054
703;0.0049
704;0.0049
705;0.0047
706;0.0043
707;0.0043
708;0.0039
709;0.0043
710;0.0041
711;0.0042
712;0.0037
713;0.0048
714;0.0042
715;0.0044
716;0.0044
717;0.0041
718;0.0043
719;0.0035
720;0.004
721;0.0042
722;0.0042
723;0.0039
724;0.0041
725;0.0036
726;0.005
727;0.004
728;0.004
729;0.0045
730;0.0039
731;0.0045
732;0.0044
733;0.0043
734;0.0038
735;0.0045
736;0.0041
737;0.0045
738;0.0042
739;0.0044
740;0.0044
741;0.0039
