20180110_60min.csv;;Kemi1\Kemi01;10-01-2018 17:43:51;GENESYS 10S UV-Vis;2L9T161212;4.006
nm;A
200;3.2111
201;3.2192
202;3.3263
203;3.3707
204;3.3798
205;3.4138
206;3.435
207;3.4254
208;3.3981
209;3.43
210;3.3972
211;3.4259
212;3.3962
213;3.398
214;3.4143
215;3.3907
216;3.3841
217;3.3913
218;3.4083
219;3.4192
220;3.4322
221;3.4469
222;3.4644
223;3.4918
224;3.5106
225;3.5654
226;3.5396
227;3.5724
228;3.6016
229;3.6129
230;3.6243
231;3.6067
232;3.564
233;3.5596
234;3.5558
235;3.5593
236;3.5503
237;3.5455
238;3.5396
239;3.5341
240;3.5293
241;3.5125
242;3.5698
243;3.5658
244;3.5347
245;3.5055
246;3.5123
247;3.5546
248;3.5408
249;3.5055
250;3.4994
251;3.4797
252;3.4651
253;3.4106
254;3.4239
255;3.4023
256;3.3932
257;3.4134
258;3.3957
259;3.4102
260;3.4044
261;3.389
262;3.3692
263;3.3327
264;3.3219
265;3.3067
266;3.3389
267;3.3162
268;3.2947
269;3.2862
270;3.2852
271;3.2891
272;3.3139
273;3.2871
274;3.2845
275;3.2783
276;3.2824
277;3.2816
278;3.2788
279;3.2891
280;3.2853
281;3.3032
282;3.3114
283;3.3077
284;3.311
285;3.307
286;3.3209
287;3.3801
288;3.3302
289;3.3215
290;3.3487
291;3.3543
292;3.3378
293;3.347
294;3.3618
295;3.375
296;3.3859
297;3.3935
298;3.384
299;3.34
300;3.198
301;2.9915
302;2.7681
303;2.5673
304;2.4171
305;2.3251
306;2.278
307;2.2651
308;2.2786
309;2.3087
310;2.3582
311;2.4261
312;2.5
313;2.5813
314;2.6804
315;2.7674
316;2.8476
317;2.93
318;3.0159
319;3.0841
320;3.1262
321;3.1548
322;3.1961
323;3.2498
324;3.2883
325;3.272
326;3.2716
327;3.2568
328;3.2613
329;3.24
330;3.2495
331;3.2502
332;3.2603
333;3.2671
334;3.2761
335;3.2405
336;3.2549
337;3.237
338;3.2324
339;3.2326
340;3.2235
341;3.221
342;3.2272
343;3.238
344;3.237
345;3.249
346;3.2311
347;3.2071
348;3.2008
349;3.1918
350;3.2039
351;3.1854
352;3.1932
353;3.1983
354;3.2035
355;3.2034
356;3.2038
357;3.2068
358;3.1775
359;3.1409
360;3.1106
361;3.0585
362;2.9598
363;2.7956
364;2.5905
365;2.3912
366;2.2007
367;2.0099
368;1.8239
369;1.6462
370;1.4818
371;1.341
372;1.219
373;1.102
374;1.0023
375;0.9198
376;0.847
377;0.7903
378;0.7469
379;0.7055
380;0.6671
381;0.6369
382;0.6136
383;0.5943
384;0.5795
385;0.5682
386;0.5599
387;0.5541
388;0.551
389;0.5493
390;0.5488
391;0.5498
392;0.552
393;0.5549
394;0.5591
395;0.5632
396;0.5684
397;0.5744
398;0.5803
399;0.5864
400;0.5925
401;0.5986
402;0.6049
403;0.6114
404;0.6181
405;0.6238
406;0.6307
407;0.6372
408;0.6437
409;0.6501
410;0.6557
411;0.6615
412;0.6667
413;0.6721
414;0.6772
415;0.6814
416;0.6863
417;0.6907
418;0.6943
419;0.6979
420;0.701
421;0.7034
422;0.7056
423;0.7078
424;0.7093
425;0.7106
426;0.7117
427;0.7126
428;0.7131
429;0.7129
430;0.7127
431;0.7122
432;0.7117
433;0.7107
434;0.7099
435;0.7085
436;0.7073
437;0.7057
438;0.7041
439;0.7019
440;0.7
441;0.6978
442;0.6953
443;0.6928
444;0.6901
445;0.6874
446;0.6845
447;0.6821
448;0.6792
449;0.6763
450;0.6737
451;0.6707
452;0.6682
453;0.6651
454;0.6625
455;0.6594
456;0.6569
457;0.6546
458;0.6519
459;0.6499
460;0.6479
461;0.6465
462;0.6443
463;0.643
464;0.6415
465;0.6406
466;0.64
467;0.6397
468;0.639
469;0.639
470;0.639
471;0.6394
472;0.64
473;0.6404
474;0.6411
475;0.6426
476;0.6436
477;0.6449
478;0.6464
479;0.6479
480;0.6493
481;0.6509
482;0.6524
483;0.6536
484;0.6549
485;0.6565
486;0.6585
487;0.6597
488;0.661
489;0.6623
490;0.6639
491;0.6647
492;0.6655
493;0.6662
494;0.6667
495;0.6671
496;0.6673
497;0.6676
498;0.6672
499;0.6666
500;0.6659
501;0.6654
502;0.664
503;0.6626
504;0.661
505;0.6593
506;0.6573
507;0.6548
508;0.6523
509;0.6495
510;0.6459
511;0.6426
512;0.639
513;0.6355
514;0.6313
515;0.6268
516;0.6222
517;0.6176
518;0.6124
519;0.6073
520;0.6021
521;0.5964
522;0.5899
523;0.5838
524;0.5774
525;0.5704
526;0.5637
527;0.5568
528;0.549
529;0.5429
530;0.5363
531;0.5283
532;0.5203
533;0.511
534;0.5041
535;0.4964
536;0.4868
537;0.4789
538;0.4709
539;0.4618
540;0.4523
541;0.4431
542;0.4356
543;0.427
544;0.418
545;0.4088
546;0.3992
547;0.3899
548;0.3817
549;0.3731
550;0.3638
551;0.3549
552;0.346
553;0.3371
554;0.3284
555;0.3198
556;0.3106
557;0.302
558;0.2938
559;0.2851
560;0.2771
561;0.2688
562;0.2608
563;0.2528
564;0.2446
565;0.2364
566;0.229
567;0.2214
568;0.2144
569;0.2068
570;0.1998
571;0.193
572;0.1869
573;0.1811
574;0.1749
575;0.1685
576;0.1634
577;0.1577
578;0.152
579;0.1469
580;0.1414
581;0.1361
582;0.132
583;0.1267
584;0.1229
585;0.1185
586;0.114
587;0.1105
588;0.1061
589;0.1021
590;0.0992
591;0.0957
592;0.0924
593;0.0894
594;0.0866
595;0.0833
596;0.0804
597;0.0779
598;0.0756
599;0.0732
600;0.0706
601;0.0686
602;0.0664
603;0.0642
604;0.0626
605;0.0605
606;0.059
607;0.0576
608;0.0558
609;0.0539
610;0.0528
611;0.0509
612;0.0497
613;0.0486
614;0.0474
615;0.0464
616;0.0453
617;0.0438
618;0.0434
619;0.042
620;0.0411
621;0.04
622;0.0392
623;0.0391
624;0.0379
625;0.037
626;0.0358
627;0.036
628;0.0347
629;0.0345
630;0.0342
631;0.0334
632;0.0325
633;0.0325
634;0.0321
635;0.0317
636;0.0313
637;0.0304
638;0.0307
639;0.0296
640;0.029
641;0.0281
642;0.0278
643;0.0272
644;0.0277
645;0.0277
646;0.0267
647;0.0267
648;0.0266
649;0.0266
650;0.0247
651;0.0258
652;0.0262
653;0.0248
654;0.0247
655;0.024
656;0.0244
657;0.0245
658;0.0241
659;0.0237
660;0.0244
661;0.0239
662;0.0237
663;0.0227
664;0.0221
665;0.0238
666;0.0228
667;0.0228
668;0.0228
669;0.0225
670;0.0224
671;0.0219
672;0.0219
673;0.0221
674;0.0219
675;0.0215
676;0.021
677;0.0208
678;0.0207
679;0.0212
680;0.0208
681;0.0206
682;0.0201
683;0.021
684;0.0208
685;0.0204
686;0.0206
687;0.0204
688;0.0205
689;0.0202
690;0.0204
691;0.0199
692;0.0202
693;0.0199
694;0.0196
695;0.0198
696;0.0197
697;0.0197
698;0.0197
699;0.0189
700;0.0195
701;0.0194
702;0.0184
703;0.0191
704;0.0194
705;0.0183
706;0.0177
707;0.0177
708;0.0179
709;0.0183
710;0.018
