C:\Users\emilbp\PhD\Projects\graphene-production\data\raw_data\xps\20171212_Gr-NH2\20171130_Gr-NH2.vms
N 1s/4
	Characteristic Energy eV	1486.69	Acquisition Time s	1.194
KE_N 1s/4	BE_N 1s/4	CPS_N 1s/4	Background_N 1s/4
1089.18	397.512	2237.02	2237.02
1089.28	397.412	2208.54	2208.54
1089.38	397.312	2190.12	2190.12
1089.48	397.212	2254.61	2254.61
1089.58	397.112	2231.99	2231.99
1089.68	397.012	2294.81	2294.81
1089.78	396.912	2172.53	2172.53
1089.88	396.812	2175.04	2175.04
1089.98	396.712	2218.59	2218.59
1090.08	396.612	2199.33	2199.33
1090.18	396.512	2194.3	2194.3
1090.28	396.412	2205.19	2205.19
1090.38	396.312	2199.33	2199.33
1090.48	396.212	2238.69	2238.69
1090.58	396.112	2175.88	2175.88
1090.68	396.012	2225.29	2225.29
1090.78	395.912	2175.04	2175.04
1090.88	395.812	2220.27	2220.27
1090.98	395.712	2206.03	2206.03
1091.08	395.612	2148.24	2148.24
1091.18	395.512	2172.53	2172.53
1091.28	395.412	2232.83	2232.83
1091.38	395.312	2159.97	2159.97
1091.48	395.212	2248.74	2248.74
1091.58	395.112	2200.17	2200.17
1091.68	395.012	2228.64	2228.64
1091.78	394.912	2220.27	2220.27
1091.88	394.812	2149.92	2149.92
1091.98	394.712	2139.03	2139.03
1092.08	394.612	2261.31	2261.31
1092.18	394.512	2108.88	2108.88
1092.28	394.412	2221.94	2221.94
1092.38	394.312	2231.99	2231.99
1092.48	394.212	2222.78	2222.78
1092.58	394.112	2221.94	2221.94
1092.68	394.012	2125.63	2125.63
1092.78	393.912	2169.18	2169.18
1092.88	393.812	2252.93	2252.93
1092.98	393.712	2267.17	2267.17
1093.08	393.612	2262.14	2262.14
1093.18	393.512	2206.03	2206.03
