C:\Users\emilbp\PhD\Projects\graphene-production\data\raw_data\xps\20171212_Gr-NH2\20171130_Gr-NH2.vms
C 1s/8
	Characteristic Energy eV	1486.69	Acquisition Time s	1
KE_C 1s/8	BE_C 1s/8	CPS_C 1s/8	C=C (sp2)_1_C 1s/8	C-O/C-N_2_C 1s/8	C=O_3_C 1s/8	p-p* (SUS)_4_C 1s/8	C-C (sp3)_5_C 1s/8	Background_C 1s/8	Envelope_C 1s/8
1182.87	303.824	1667	1723.97	1667	1667	1667	1667	1667	1723.97
1182.97	303.724	1673	1730.14	1673	1673	1673	1673	1673	1730.14
1183.07	303.624	1641	1698.31	1641	1641	1641	1641	1641	1698.31
1183.17	303.524	1628	1685.48	1628	1628	1628	1628	1628	1685.48
1183.27	303.424	1597	1654.65	1597	1597	1597	1597	1597	1654.65
1183.37	303.324	1622	1679.82	1622	1622	1622	1622	1622	1679.82
1183.47	303.224	1630	1687.99	1630	1630	1630	1630	1630	1687.99
1183.57	303.124	1517	1575.18	1517	1517	1517	1517	1517	1575.18
1183.67	303.024	1572	1630.36	1572	1572	1572	1572	1572	1630.36
1183.77	302.924	1626	1684.55	1626	1626	1626	1626	1626	1684.55
1183.87	302.824	1662	1720.74	1662	1662	1662	1662	1662	1720.74
1183.97	302.724	1544	1602.92	1544	1544	1544	1544	1544	1602.92
1184.07	302.624	1558	1617.11	1558	1558	1558	1558	1558	1617.11
1184.17	302.524	1575	1634.3	1575	1575	1575	1575	1575	1634.3
1184.27	302.424	1483	1542.5	1483	1483	1483	1483	1483	1542.5
1184.37	302.324	1507	1566.7	1507	1507	1507	1507	1507	1566.7
1184.47	302.224	1514	1573.91	1514	1514	1514	1514	1514	1573.91
1184.57	302.124	1468	1528.11	1468	1468	1468	1468	1468	1528.11
1184.67	302.024	1498	1558.32	1498	1498	1498	1498	1498	1558.32
1184.77	301.924	1481	1541.52	1481	1481	1481	1481	1481	1541.52
1184.87	301.824	1421	1481.73	1421	1421	1421	1421	1421	1481.73
1184.97	301.724	1413	1473.96	1413	1413	1413	1413	1413	1473.96
1185.07	301.624	1403	1464.18	1403	1403	1403	1403	1403	1464.18
1185.17	301.524	1470	1531.41	1470	1470	1470	1470	1470	1531.41
1185.27	301.424	1435	1496.63	1435	1435	1435	1435	1435	1496.63
1185.37	301.324	1382	1443.85	1382	1382	1382	1382	1382	1443.85
1185.47	301.224	1334	1396.08	1334	1334	1334	1334	1334	1396.08
1185.57	301.124	1416	1478.32	1416	1416	1416	1416	1416	1478.32
1185.67	301.024	1377	1439.57	1377	1377	1377	1377	1377	1439.57
1185.77	300.924	1315	1377.81	1315	1315	1315	1315	1315	1377.81
1185.87	300.824	1339	1402.06	1339	1339	1339	1339	1339	1402.06
1185.97	300.724	1313	1376.31	1313	1313	1313	1313	1313	1376.31
1186.07	300.624	1260	1323.56	1260	1260	1260	1260	1260	1323.56
1186.17	300.524	1332	1395.81	1332	1332	1332	1332	1332	1395.81
1186.27	300.424	1307	1371.08	1307	1307	1307	1307	1307	1371.08
1186.37	300.324	1320	1384.35	1320	1320	1320	1320	1320	1384.35
1186.47	300.224	1258	1322.63	1258	1258	1258	1258	1258	1322.63
1186.57	300.124	1282	1346.9	1282	1282	1282	1282	1282	1346.9
1186.67	300.024	1247	1312.18	1247	1247	1247	1247	1247	1312.18
1186.77	299.924	1291	1356.45	1291	1291	1291	1291	1291	1356.45
1186.87	299.824	1273	1338.74	1273	1273	1273	1273	1273	1338.74
1186.97	299.724	1300	1366.04	1300	1300	1300	1300	1300	1366.04
1187.07	299.624	1240	1306.35	1240	1240	1240	1240	1240	1306.35
1187.17	299.524	1211	1277.66	1211	1211	1211	1211	1211	1277.66
1187.27	299.424	1190	1256.96	1190	1190	1190	1190	1190	1256.96
1187.37	299.324	1206	1273.27	1206	1206	1206	1206	1206	1273.27
1187.47	299.224	1206	1273.58	1206	1206	1206	1206	1206	1273.58
1187.57	299.124	1250	1317.91	1250	1250	1250	1250	1250	1317.91
1187.67	299.024	1193	1261.25	1193	1193	1193	1193	1193	1261.25
1187.77	298.924	1182	1250.59	1182	1182	1182	1182	1182	1250.59
1187.87	298.824	1264	1332.94	1264	1264	1264	1264	1264	1332.94
1187.97	298.724	1224	1293.28	1224	1224	1224	1224	1224	1293.28
1188.07	298.624	1267	1336.62	1267	1267	1267	1267	1267	1336.62
1188.17	298.524	1162	1231.97	1162	1162	1162	1162	1162	1231.97
1188.27	298.424	1182	1252.36	1182	1182	1182	1182	1182	1252.36
1188.37	298.324	1212	1282.74	1212	1212	1212	1212	1212	1282.74
1188.47	298.224	1192	1263.13	1192	1192	1192	1192	1192	1263.13
1188.57	298.124	1174	1245.52	1174	1174	1174	1174	1174	1245.52
1188.67	298.024	1204	1275.9	1204	1204	1204	1204	1204	1275.9
1188.77	297.924	1126	1198.29	1126	1126	1126	1126	1126	1198.29
1188.87	297.824	1124	1196.7	1124	1124	1124	1124	1124	1196.7
1188.97	297.724	1147	1220.14	1147	1147	1147	1147	1147	1220.14
1189.07	297.624	1151	1224.58	1151	1151	1151	1151	1151	1224.58
1189.17	297.524	1167	1241.02	1167	1167	1167	1167	1167	1241.02
1189.27	297.424	1160	1234.46	1160	1160	1160	1160	1160	1234.46
1189.37	297.324	1150	1224.9	1150	1150	1150	1150	1150	1224.9
1189.47	297.224	1199	1274.34	1199	1199	1199	1199	1199	1274.34
1189.57	297.124	1132	1207.82	1132	1132	1132	1132	1132	1207.82
1189.67	297.024	1172	1248.33	1172	1172	1172	1172	1172	1248.33
1189.77	296.924	1150	1226.83	1150	1150	1150	1150	1150	1226.83
1189.87	296.824	1157	1234.33	1157	1157	1157	1157	1157	1234.33
1189.97	296.724	1138	1215.84	1138	1138	1138	1138	1138	1215.84
1190.07	296.624	1151	1229.34	1151	1151	1151	1151	1151	1229.34
1190.17	296.524	1171	1249.85	1171	1171	1171	1171	1171	1249.85
1190.27	296.424	1176	1255.43	1176	1176	1176	1176	1176	1255.43
1190.37	296.324	1182	1262.01	1182	1182	1182	1182	1182	1262.01
1190.47	296.224	1129	1209.59	1129	1129	1129	1129	1129	1209.59
