C:\Users\emilbp\PhD\Projects\graphene-production\data\raw_data\xps\20171212_Gr-NH2\20171130_Gr-NH2.vms
N 1s/9
	Characteristic Energy eV	1486.69	Acquisition Time s	1.194
KE_N 1s/9	BE_N 1s/9	CPS_N 1s/9	Background_N 1s/9
1072.87	413.824	2012.56	2012.56
1072.97	413.724	2035.18	2035.18
1073.07	413.624	2039.36	2039.36
1073.17	413.524	2063.65	2063.65
1073.27	413.424	2056.95	2056.95
1073.37	413.324	2067.84	2067.84
1073.47	413.224	2094.64	2094.64
1073.57	413.124	2078.73	2078.73
1073.67	413.024	2084.59	2084.59
1073.77	412.924	2053.6	2053.6
1073.87	412.824	2036.01	2036.01
1073.97	412.724	2004.19	2004.19
1074.07	412.624	2041.88	2041.88
1074.17	412.524	1989.11	1989.11
1074.27	412.424	2026.8	2026.8
1074.37	412.324	2042.71	2042.71
1074.47	412.224	2110.55	2110.55
1074.57	412.124	2092.13	2092.13
1074.67	412.024	2025.96	2025.96
1074.77	411.924	2052.76	2052.76
1074.87	411.824	2056.95	2056.95
1074.97	411.724	2005.03	2005.03
1075.07	411.624	1994.97	1994.97
1075.17	411.524	1993.3	1993.3
1075.27	411.424	2061.98	2061.98
1075.37	411.324	2062.81	2062.81
1075.47	411.224	2020.94	2020.94
1075.57	411.124	2062.81	2062.81
1075.67	411.024	1980.74	1980.74
1075.77	410.924	2010.89	2010.89
1075.87	410.824	2013.4	2013.4
1075.97	410.724	2049.41	2049.41
1076.07	410.624	2082.08	2082.08
1076.17	410.524	2044.39	2044.39
1076.27	410.424	2106.37	2106.37
1076.37	410.324	2070.35	2070.35
1076.47	410.224	2075.38	2075.38
1076.57	410.124	2047.74	2047.74
1076.67	410.024	2104.69	2104.69
1076.77	409.924	2016.75	2016.75
1076.87	409.824	2064.49	2064.49
1076.97	409.724	2044.39	2044.39
1077.07	409.624	2015.08	2015.08
1077.17	409.524	2044.39	2044.39
1077.27	409.424	2030.15	2030.15
1077.37	409.324	2015.91	2015.91
1077.47	409.224	2037.69	2037.69
1077.57	409.124	1989.95	1989.95
1077.67	409.024	1974.87	1974.87
1077.77	408.924	1989.95	1989.95
1077.87	408.824	2011.73	2011.73
1077.97	408.724	2033.5	2033.5
1078.07	408.624	2052.76	2052.76
1078.17	408.524	2078.73	2078.73
1078.27	408.424	2014.24	2014.24
1078.37	408.324	2024.29	2024.29
1078.47	408.224	2054.44	2054.44
1078.57	408.124	2051.09	2051.09
1078.67	408.024	2046.06	2046.06
1078.77	407.924	2077.05	2077.05
1078.87	407.824	2050.25	2050.25
1078.97	407.724	2075.38	2075.38
1079.07	407.624	2005.86	2005.86
1079.17	407.524	2022.61	2022.61
1079.27	407.424	2007.54	2007.54
1079.37	407.324	2092.96	2092.96
1079.47	407.224	2054.44	2054.44
1079.57	407.124	2066.16	2066.16
1079.67	407.024	2097.99	2097.99
1079.77	406.924	2091.29	2091.29
1079.87	406.824	2094.64	2094.64
1079.97	406.724	2016.75	2016.75
1080.07	406.624	2097.99	2097.99
1080.17	406.524	2045.23	2045.23
1080.27	406.424	2058.63	2058.63
1080.37	406.324	2019.26	2019.26
1080.47	406.224	2072.03	2072.03
1080.57	406.124	2082.08	2082.08
1080.67	406.024	2079.56	2079.56
1080.77	405.924	2078.73	2078.73
1080.87	405.824	2076.21	2076.21
1080.97	405.724	2056.11	2056.11
1081.07	405.624	2074.54	2074.54
1081.17	405.524	2075.38	2075.38
1081.27	405.424	2149.08	2149.08
1081.37	405.324	2145.73	2145.73
1081.47	405.224	2165.83	2165.83
1081.57	405.124	2118.93	2118.93
1081.67	405.024	2164.15	2164.15
1081.77	404.924	2195.98	2195.98
1081.87	404.824	2201.84	2201.84
1081.97	404.724	2309.05	2309.05
1082.07	404.624	2269.68	2269.68
1082.17	404.524	2281.41	2281.41
1082.27	404.424	2354.27	2354.27
1082.37	404.324	2338.36	2338.36
1082.47	404.224	2234.51	2234.51
1082.57	404.124	2244.56	2244.56
1082.67	404.024	2206.87	2206.87
1082.77	403.924	2174.2	2174.2
1082.87	403.824	2225.29	2225.29
1082.97	403.724	2191.79	2191.79
1083.07	403.624	2240.37	2240.37
1083.17	403.524	2220.27	2220.27
1083.27	403.424	2189.28	2189.28
1083.37	403.324	2188.44	2188.44
1083.47	403.224	2186.77	2186.77
1083.57	403.124	2154.94	2154.94
