C:\Users\emilbp\PhD\Projects\graphene-production\data\raw_data\xps\20171212_Gr-NH2\20171130_Gr-NH2.vms
N 1s/19
	Characteristic Energy eV	1486.69	Acquisition Time s	1.194
KE_N 1s/19	BE_N 1s/19	CPS_N 1s/19	Background_N 1s/19
1092.46	394.234	1697.65	1697.65
1092.56	394.134	1718.59	1718.59
1092.66	394.034	1757.12	1757.12
1092.76	393.934	1742.88	1742.88
1092.86	393.834	1685.09	1685.09
1092.96	393.734	1779.73	1779.73
1093.06	393.634	1722.78	1722.78
1093.16	393.534	1712.73	1712.73
1093.26	393.434	1742.04	1742.04
1093.36	393.334	1737.02	1737.02
1093.46	393.234	1776.38	1776.38
1093.56	393.134	1770.52	1770.52
1093.66	393.034	1769.68	1769.68
1093.76	392.934	1791.46	1791.46
1093.86	392.834	1716.92	1716.92
1093.96	392.734	1731.16	1731.16
1094.06	392.634	1734.51	1734.51
1094.16	392.534	1746.23	1746.23
1094.26	392.434	1754.61	1754.61
1094.36	392.334	1752.93	1752.93
1094.46	392.234	1787.27	1787.27
1094.56	392.134	1756.28	1756.28
1094.66	392.034	1729.48	1729.48
1094.76	391.934	1735.34	1735.34
1094.86	391.834	1762.14	1762.14
1094.96	391.734	1734.51	1734.51
1095.06	391.634	1750.42	1750.42
1095.16	391.534	1731.99	1731.99
1095.26	391.434	1764.66	1764.66
1095.36	391.334	1793.13	1793.13
1095.46	391.234	1734.51	1734.51
1095.56	391.134	1759.63	1759.63
1095.66	391.034	1768.01	1768.01
1095.76	390.934	1726.97	1726.97
1095.86	390.834	1742.88	1742.88
1095.96	390.734	1759.63	1759.63
1096.06	390.634	1723.62	1723.62
1096.16	390.534	1778.89	1778.89
1096.26	390.434	1722.78	1722.78
1096.36	390.334	1773.87	1773.87
1096.46	390.234	1854.27	1854.27
