C:\Users\emilbp\PhD\Projects\graphene-production\data\raw_data\xps\20171212_Gr-NH2\20171130_Gr-NH2.vms
N 1s/14
	Characteristic Energy eV	1486.69	Acquisition Time s	1.194
KE_N 1s/14	BE_N 1s/14	CPS_N 1s/14	Background_N 1s/14
1076.36	410.334	1820.77	1820.77
1076.46	410.234	1824.96	1824.96
1076.56	410.134	1855.11	1855.11
1076.66	410.034	1846.73	1846.73
1076.76	409.934	1826.63	1826.63
1076.86	409.834	1842.55	1842.55
1076.96	409.734	1846.73	1846.73
1077.06	409.634	1804.02	1804.02
1077.16	409.534	1881.91	1881.91
1077.26	409.434	1906.2	1906.2
1077.36	409.334	1806.53	1806.53
1077.46	409.234	1819.93	1819.93
1077.56	409.134	1820.77	1820.77
1077.66	409.034	1872.7	1872.7
1077.76	408.934	1857.62	1857.62
1077.86	408.834	1859.3	1859.3
1077.96	408.734	1861.81	1861.81
1078.06	408.634	1888.61	1888.61
1078.16	408.534	1874.37	1874.37
1078.26	408.434	1881.07	1881.07
1078.36	408.334	1816.58	1816.58
1078.46	408.234	1911.22	1911.22
1078.56	408.134	1876.88	1876.88
1078.66	408.034	1842.55	1842.55
1078.76	407.934	1821.61	1821.61
1078.86	407.834	1814.07	1814.07
1078.96	407.734	1841.71	1841.71
1079.06	407.634	1826.63	1826.63
1079.16	407.534	1831.66	1831.66
1079.26	407.434	1881.91	1881.91
1079.36	407.334	1855.11	1855.11
1079.46	407.234	1889.45	1889.45
1079.56	407.134	1829.15	1829.15
1079.66	407.034	1873.53	1873.53
1079.76	406.934	1918.76	1918.76
1079.86	406.834	1850.08	1850.08
1079.96	406.734	1885.26	1885.26
1080.06	406.634	1871.02	1871.02
1080.16	406.534	1845.9	1845.9
1080.26	406.434	1863.48	1863.48
1080.36	406.334	1873.53	1873.53
1080.46	406.234	1918.76	1918.76
1080.56	406.134	1890.28	1890.28
1080.66	406.034	1894.47	1894.47
1080.76	405.934	1885.26	1885.26
1080.86	405.834	1937.19	1937.19
1080.96	405.734	1917.92	1917.92
1081.06	405.634	1924.62	1924.62
1081.16	405.534	1865.16	1865.16
1081.26	405.434	1861.81	1861.81
1081.36	405.334	1787.27	1787.27
1081.46	405.234	1903.69	1903.69
1081.56	405.134	1893.63	1893.63
1081.66	405.034	1869.35	1869.35
1081.76	404.934	1879.4	1879.4
1081.86	404.834	1903.69	1903.69
1081.96	404.734	1873.53	1873.53
1082.06	404.634	1840.87	1840.87
1082.16	404.534	1859.3	1859.3
1082.26	404.434	1878.56	1878.56
1082.36	404.334	1882.75	1882.75
1082.46	404.234	1830.82	1830.82
1082.56	404.134	1847.57	1847.57
1082.66	404.034	1835.85	1835.85
1082.76	403.934	1841.71	1841.71
1082.86	403.834	1873.53	1873.53
1082.96	403.734	1895.31	1895.31
1083.06	403.634	1918.76	1918.76
1083.16	403.534	1886.1	1886.1
1083.26	403.434	1943.89	1943.89
1083.36	403.334	1860.97	1860.97
1083.46	403.234	1911.22	1911.22
1083.56	403.134	1924.62	1924.62
1083.66	403.034	1977.39	1977.39
1083.76	402.934	1974.04	1974.04
1083.86	402.834	1939.7	1939.7
1083.96	402.734	1935.51	1935.51
1084.06	402.634	1893.63	1893.63
1084.16	402.534	1971.52	1971.52
1084.26	402.434	1941.37	1941.37
1084.36	402.334	2015.08	2015.08
1084.46	402.234	1998.32	1998.32
1084.56	402.134	1976.55	1976.55
1084.66	402.034	1961.47	1961.47
1084.76	401.934	2006.7	2006.7
1084.86	401.834	2043.55	2043.55
1084.96	401.734	2034.34	2034.34
1085.06	401.634	2024.29	2024.29
1085.16	401.534	2051.09	2051.09
1085.26	401.434	2014.24	2014.24
1085.36	401.334	2054.44	2054.44
1085.46	401.234	2028.48	2028.48
1085.56	401.134	1992.46	1992.46
1085.66	401.034	2032.66	2032.66
1085.76	400.934	1985.76	1985.76
1085.86	400.834	1954.77	1954.77
1085.96	400.734	1975.71	1975.71
1086.06	400.634	1917.92	1917.92
1086.16	400.534	2021.78	2021.78
1086.26	400.434	2010.05	2010.05
1086.36	400.334	2009.21	2009.21
1086.46	400.234	1977.39	1977.39
1086.56	400.134	1943.05	1943.05
1086.66	400.034	1923.79	1923.79
1086.76	399.934	2021.78	2021.78
1086.86	399.834	1978.22	1978.22
1086.96	399.734	1996.65	1996.65
1087.06	399.634	1987.44	1987.44
1087.16	399.534	1963.99	1963.99
1087.26	399.434	1986.6	1986.6
1087.36	399.334	1972.36	1972.36
1087.46	399.234	1960.64	1960.64
1087.56	399.134	1941.37	1941.37
1087.66	399.034	1930.49	1930.49
1087.76	398.934	1940.54	1940.54
1087.86	398.834	2001.68	2001.68
1087.96	398.734	1887.77	1887.77
1088.06	398.634	1900.34	1900.34
1088.16	398.534	1850.08	1850.08
1088.26	398.434	1925.46	1925.46
1088.36	398.334	1847.57	1847.57
