C:\Users\emilbp\PhD\Projects\graphene-production\data\raw_data\xps\20171212_Gr-NH2\20171130_Gr-NH2.vms
C 1s/13
	Characteristic Energy eV	1486.69	Acquisition Time s	1
KE_C 1s/13	BE_C 1s/13	CPS_C 1s/13	C=C (sp2)_1_C 1s/13	C-O/C-N_2_C 1s/13	C=O_3_C 1s/13	p-p* (SUS)_4_C 1s/13	C-C (sp3)_5_C 1s/13	Background_C 1s/13	Envelope_C 1s/13
1186.36	300.334	1201	1256.83	1201	1201	1201	1201	1201	1256.83
1186.46	300.234	1217	1273.08	1217	1217	1217	1217	1217	1273.08
1186.56	300.134	1199	1255.33	1199	1199	1199	1199	1199	1255.33
1186.66	300.034	1248	1304.59	1248	1248	1248	1248	1248	1304.59
1186.76	299.934	1231	1287.87	1231	1231	1231	1231	1231	1287.87
1186.86	299.834	1185	1242.15	1185	1185	1185	1185	1185	1242.15
1186.96	299.734	1232	1289.43	1232	1232	1232	1232	1232	1289.43
1187.06	299.634	1201	1258.71	1201	1201	1201	1201	1201	1258.71
1187.16	299.534	1123	1180.99	1123	1123	1123	1123	1123	1180.99
1187.26	299.434	1177	1235.27	1177	1177	1177	1177	1177	1235.27
1187.36	299.334	1169	1227.56	1169	1169	1169	1169	1169	1227.56
1187.46	299.234	1109	1167.87	1109	1109	1109	1109	1109	1167.87
1187.56	299.134	1116	1175.19	1116	1116	1116	1116	1116	1175.19
1187.66	299.034	1095	1154.51	1095	1095	1095	1095	1095	1154.51
1187.76	298.934	1153	1212.82	1153	1153	1153	1153	1153	1212.82
1187.86	298.834	1118	1178.14	1118	1118	1118	1118	1118	1178.14
1187.96	298.734	1141	1201.46	1141	1141	1141	1141	1141	1201.46
1188.06	298.634	1164	1224.77	1164	1164	1164	1164	1164	1224.77
1188.16	298.534	1077	1138.13	1077	1077	1077	1077	1077	1138.13
1188.26	298.434	1126	1187.49	1126	1126	1126	1126	1126	1187.49
1188.36	298.334	1145	1206.85	1145	1145	1145	1145	1145	1206.85
1188.46	298.234	1150	1212.22	1150	1150	1150	1150	1150	1212.22
1188.56	298.134	1119	1181.58	1119	1119	1119	1119	1119	1181.58
1188.66	298.034	1081	1143.94	1081	1081	1081	1081	1081	1143.94
1188.76	297.934	1073	1136.3	1073	1073	1073	1073	1073	1136.3
1188.86	297.834	1043	1106.69	1043	1043	1043	1043	1043	1106.69
1188.96	297.734	1105	1169.1	1105	1105	1105	1105	1105	1169.1
1189.06	297.634	1126	1190.52	1126	1126	1126	1126	1126	1190.52
1189.16	297.534	1094	1158.94	1094	1094	1094	1094	1094	1158.94
1189.26	297.434	1106	1171.36	1106	1106	1106	1106	1106	1171.36
1189.36	297.334	1072	1137.78	1072	1072	1072	1072	1072	1137.78
1189.46	297.234	1077	1143.2	1077	1077	1077	1077	1077	1143.2
1189.56	297.134	1069	1135.62	1069	1069	1069	1069	1069	1135.62
1189.66	297.034	1076	1143.1	1076	1076	1076	1076	1076	1143.1
1189.76	296.934	1051	1118.59	1051	1051	1051	1051	1051	1118.59
1189.86	296.834	1107	1175.08	1107	1107	1107	1107	1107	1175.08
1189.96	296.734	1039	1107.57	1039	1039	1039	1039	1039	1107.57
1190.06	296.634	1112	1181.06	1112	1112	1112	1112	1112	1181.06
1190.16	296.534	1089	1158.54	1089	1089	1089	1089	1089	1158.54
1190.26	296.434	1090	1160.03	1090	1090	1090	1090	1090	1160.03
1190.36	296.334	1127	1197.56	1127	1127	1127	1127	1127	1197.56
1190.46	296.234	1092	1163.14	1092	1092	1092	1092	1092	1163.14
1190.56	296.134	1106	1177.72	1106	1106	1106	1106	1106	1177.72
1190.66	296.034	1064	1136.29	1064	1064	1064	1064	1064	1136.29
1190.76	295.934	1085	1157.87	1085	1085	1085	1085	1085	1157.87
1190.86	295.834	1096	1169.45	1096	1096	1096	1096	1096	1169.45
1190.96	295.734	1115	1189.02	1115	1115	1115	1115	1115	1189.02
1191.06	295.634	1146	1220.6	1146	1146	1146	1146	1146	1220.6
1191.16	295.534	1163	1238.29	1163	1163	1163	1163	1163	1238.29
1191.26	295.434	1168	1243.98	1168	1168	1168	1168	1168	1243.98
1191.36	295.334	1129	1205.67	1129	1129	1129	1129	1129	1205.67
1191.46	295.234	1158	1235.36	1158	1158	1158	1158	1158	1235.36
1191.56	295.134	1124	1202.05	1124	1124	1124	1124	1124	1202.05
1191.66	295.034	1202	1280.74	1202	1202	1202	1202	1202	1280.74
1191.76	294.934	1215	1294.42	1215	1215	1215	1215	1215	1294.42
1191.86	294.834	1156	1236.2	1156	1156	1156	1156	1156	1236.2
1191.96	294.734	1170	1251.03	1170	1170	1170	1170	1170	1251.03
1192.06	294.634	1273	1354.87	1273	1273	1273	1273	1273	1354.87
1192.16	294.534	1228	1310.71	1228	1228	1228	1228	1228	1310.71
1192.26	294.434	1233	1316.54	1233	1233	1233.01	1233	1233	1316.55
1192.36	294.334	1297	1381.38	1297	1297	1297.01	1297	1297	1381.39
1192.46	294.234	1308	1393.21	1308	1308	1308.02	1308	1308	1393.23
1192.56	294.134	1198	1284.07	1198	1198	1198.04	1198	1198	1284.11
1192.66	294.034	1205	1292.11	1205	1205	1205.06	1205	1205	1292.17
1192.76	293.934	1274	1336.1	1247.96	1247.96	1248.06	1247.96	1247.96	1336.2
1192.86	293.834	1265	1337.1	1247.93	1247.94	1248.1	1247.93	1247.93	1337.27
1192.96	293.734	1263	1338.11	1247.91	1247.91	1248.18	1247.91	1247.91	1338.39
1193.06	293.634	1218	1339.1	1247.87	1247.87	1248.3	1247.87	1247.87	1339.54
1193.16	293.534	1271	1340.1	1247.83	1247.84	1248.51	1247.83	1247.83	1340.79
1193.26	293.434	1268	1341.1	1247.8	1247.81	1248.85	1247.8	1247.8	1342.16
1193.36	293.334	1301	1342.23	1247.72	1247.74	1249.33	1247.72	1247.72	1343.86
1193.46	293.234	1244	1343.53	1247.71	1247.74	1250.13	1247.71	1247.71	1345.98
1193.56	293.134	1265	1344.8	1247.69	1247.73	1251.27	1247.69	1247.69	1348.43
1193.66	293.034	1288	1346.04	1247.63	1247.69	1252.86	1247.63	1247.63	1351.34
1193.76	292.934	1365	1347.16	1247.45	1247.54	1254.96	1247.45	1247.45	1354.77
1193.86	292.834	1323	1348.35	1247.33	1247.47	1257.99	1247.33	1247.33	1359.14
1193.96	292.734	1302	1349.57	1247.25	1247.45	1262.1	1247.25	1247.25	1364.61
1194.06	292.634	1308	1350.87	1247.16	1247.44	1267.56	1247.16	1247.16	1371.55
1194.16	292.534	1389	1352.33	1246.94	1247.36	1274.51	1246.94	1246.94	1380.31
1194.26	292.434	1415	1353.76	1246.69	1247.28	1283.34	1246.69	1246.69	1391
1194.36	292.334	1398	1355.21	1246.46	1247.3	1294.42	1246.46	1246.46	1404.01
1194.46	292.234	1401	1356.65	1246.23	1247.41	1307.86	1246.23	1246.23	1419.47
1194.56	292.134	1459	1358.01	1245.9	1247.56	1323.82	1245.9	1245.9	1437.59
1194.66	292.034	1516	1359.28	1245.49	1247.8	1342.12	1245.49	1245.49	1458.21
1194.76	291.934	1495	1360.58	1245.12	1248.29	1362.73	1245.12	1245.12	1481.37
1194.86	291.834	1512	1362.3	1244.71	1249.04	1385	1244.71	1244.71	1506.92
1194.96	291.734	1571	1364.04	1244.22	1250.07	1408.09	1244.22	1244.22	1533.78
1195.06	291.634	1547	1365.82	1243.76	1251.62	1431.01	1243.76	1243.76	1560.93
1195.16	291.534	1559	1367.57	1243.28	1253.74	1452.43	1243.28	1243.28	1587.19
1195.26	291.434	1614	1369.25	1242.72	1256.53	1470.7	1242.72	1242.72	1611.04
1195.36	291.334	1602	1370.93	1242.17	1260.24	1484.73	1242.17	1242.17	1631.57
1195.46	291.234	1685	1372.5	1241.5	1264.94	1492.98	1241.5	1241.5	1647.42
1195.56	291.134	1622	1374.47	1240.92	1271.08	1495.09	1240.92	1240.92	1658.79
1195.66	291.034	1686	1376.88	1240.25	1278.74	1490.56	1240.25	1240.25	1665.68
1195.76	290.934	1655	1379.33	1239.62	1288.32	1479.83	1239.62	1239.62	1668.24
1195.86	290.834	1637	1381.81	1239.02	1300.08	1463.87	1239.02	1239.02	1667.74
1195.96	290.734	1662	1384.25	1238.38	1314.26	1443.63	1238.37	1238.37	1665.39
1196.06	290.634	1681	1386.67	1237.71	1331.12	1420.74	1237.7	1237.7	1663.13
1196.16	290.534	1674	1389.09	1237.06	1350.98	1396.55	1237.04	1237.04	1662.55
1196.26	290.434	1732	1391.42	1236.31	1373.92	1372.31	1236.29	1236.29	1665.09
1196.36	290.334	1638	1395.17	1235.72	1400.3	1349.28	1235.68	1235.68	1673.43
1196.46	290.234	1683	1398.95	1235.07	1429.93	1328.02	1235	1235	1686.96
1196.56	290.134	1689	1402.72	1234.43	1462.73	1309.01	1234.31	1234.31	1705.96
1196.66	290.034	1732	1406.42	1233.76	1498.38	1292.52	1233.56	1233.56	1730.4
1196.76	289.934	1739	1410.11	1233.12	1536.44	1278.47	1232.79	1232.79	1759.76
1196.86	289.834	1816	1413.69	1232.43	1576.11	1266.74	1231.91	1231.91	1793.25
1196.96	289.734	1865	1417.19	1231.79	1616.52	1257.06	1230.95	1230.95	1829.7
1197.06	289.634	1917	1421.76	1231.22	1656.52	1249.17	1229.91	1229.91	1868.94
1197.16	289.534	1860	1427.64	1231.02	1694.96	1242.94	1228.95	1228.95	1909.71
1197.26	289.434	1900	1433.46	1231.11	1730.32	1237.93	1227.93	1227.93	1949.02
1197.36	289.334	1935	1439.23	1231.69	1761.18	1233.91	1226.86	1226.86	1985.43
1197.46	289.234	2069	1444.79	1232.86	1786.05	1230.47	1225.59	1225.59	2017.42
1197.56	289.134	2048	1450.38	1235.14	1803.98	1227.68	1224.34	1224.34	2044.17
1197.66	289.034	2070	1455.94	1238.88	1814.02	1225.3	1223.06	1223.06	2064.98
1197.76	288.934	2109	1461.64	1244.69	1815.57	1223.2	1221.71	1221.71	2079.97
1197.86	288.834	2103	1471.65	1253.24	1808.58	1221.35	1220.38	1220.38	2093.69
1197.96	288.734	2076	1481.7	1265.5	1793.34	1219.7	1219.08	1219.08	2103.01
1198.06	288.634	2086	1491.72	1282.65	1770.46	1218.16	1217.76	1217.76	2109.71
1198.16	288.534	2111	1501.71	1305.78	1740.91	1216.66	1216.41	1216.41	2115.83
1198.26	288.434	2121	1511.69	1336.66	1705.89	1215.19	1215.04	1215.04	2124.32
1198.36	288.334	2131	1521.64	1377.17	1666.91	1213.74	1213.65	1213.65	2138.52
1198.46	288.234	2260	1531.4	1428.74	1625.21	1212.12	1212.06	1212.06	2161.29
1198.56	288.134	2193	1543.62	1494.2	1582.46	1210.61	1210.57	1210.57	2199.16
1198.66	288.034	2234	1558.36	1575.3	1539.71	1209.04	1209.02	1209.02	2255.35
1198.76	287.934	2307	1574.42	1673.38	1497.98	1207.37	1207.36	1207.36	2331.09
1198.86	287.834	2434	1591.91	1790.58	1458.03	1205.5	1205.5	1205.5	2429.53
1198.96	287.734	2540	1611.05	1927.1	1420.5	1203.47	1203.47	1203.47	2551.71
1199.06	287.634	2691	1631.99	2082.16	1385.76	1201.22	1201.22	1201.22	2697.48
1199.16	287.534	2841	1655.03	2254.92	1354.03	1198.73	1198.73	1198.73	2866.52
1199.26	287.434	3057	1680.34	2441.1	1325.3	1195.91	1195.91	1195.91	3054.93
1199.36	287.334	3238	1708.38	2635.57	1299.56	1192.81	1192.81	1192.81	3257.88
1199.46	287.234	3476	1739.46	2831.18	1276.57	1189.35	1189.35	1189.35	3468.52
1199.56	287.134	3677	1774.14	3019.12	1256.23	1185.58	1185.58	1185.58	3678.34
1199.66	287.034	3964	1812.91	3189.81	1238.08	1181.36	1181.38	1181.36	3878.09
1199.76	286.934	4057	1856.74	3331.84	1222.13	1177	1177.05	1177	4056.75
1199.86	286.834	4141	1906.49	3437.51	1208.09	1172.51	1172.67	1172.51	4207.23
1199.96	286.734	4368	1962.97	3498.89	1195.48	1167.66	1168.12	1167.66	4322.48
1200.06	286.634	4418	2027.62	3509.56	1184.29	1162.73	1163.99	1162.73	4397.27
1200.16	286.534	4390	2102.11	3471	1174.4	1157.84	1161.05	1157.84	4435.05
1200.26	286.434	4457	2188.02	3384.53	1165.45	1152.83	1160.58	1152.83	4440.07
1200.36	286.334	4386	2287.69	3255.14	1157.46	1147.93	1165.5	1147.93	4422
1200.46	286.234	4426	2403.85	3092.7	1150.1	1142.96	1180.3	1142.96	4398.06
1200.56	286.134	4314	2539.83	2906.28	1143.45	1138.15	1212.5	1138.15	4387.62
1200.66	286.034	4340	2699.74	2705.93	1137.2	1133.29	1272.12	1133.29	4415.1
1200.76	285.934	4643	2888.65	2501.1	1130.82	1127.97	1369.88	1127.97	4506.53
1200.86	285.834	4751	3113.82	2300.28	1124.54	1122.48	1514.08	1122.48	4685.29
1200.96	285.734	4955	3385.72	2109.97	1118.15	1116.66	1702.49	1116.66	4966.34
1201.06	285.634	5367	3718.9	1934.06	1111.28	1110.22	1913.98	1110.22	5347.56
1201.16	285.534	5762	4136.33	1776.08	1103.91	1103.16	2105.65	1103.16	5812.49
1201.26	285.434	6302	4675.64	1636.72	1095.8	1095.28	2223.47	1095.28	6345.8
1201.36	285.334	6913	5391.85	1515.43	1086.82	1086.46	2225.71	1086.46	6960.44
1201.46	285.234	7727	6370.48	1411.85	1076.64	1076.38	2108.36	1076.38	7738.17
1201.56	285.134	8966	7730.04	1323.1	1064.59	1064.42	1906.89	1064.42	8831.36
1201.66	285.034	10575	9606.69	1246.52	1050.11	1050	1674.25	1050	10427.6
1201.76	284.934	12735	12122.4	1179.95	1032.35	1032.27	1455.89	1032.27	12693.8
1201.86	284.834	15349	15267.8	1120	1010.61	1010.56	1275.84	1010.56	15642.6
1201.96	284.734	18589	18786.6	1063.81	983.937	983.903	1138.08	983.903	19020.7
1202.06	284.634	22455	22076.4	1009.16	951.362	951.34	1034.95	951.34	22217.9
1202.16	284.534	24644	24254.6	956.646	915.423	915.408	957.888	915.408	24338.3
