C:\Users\emilbp\PhD\Projects\graphene-production\data\raw_data\xps\20171212_Gr-NH2\20171130_Gr-NH2.vms
C 1s/3
	Characteristic Energy eV	1486.69	Acquisition Time s	1
KE_C 1s/3	BE_C 1s/3	CPS_C 1s/3	C=C (sp2)_1_C 1s/3	C-O/C-N_2_C 1s/3	C=O_3_C 1s/3	p-p* (SUS)_4_C 1s/3	C-C (sp3)_5_C 1s/3	Background_C 1s/3	Envelope_C 1s/3
1191.08	295.612	1345	1440.77	1345	1345	1345	1345	1345	1440.77
1191.18	295.512	1348	1444.46	1348	1348	1348	1348	1348	1444.47
1191.28	295.412	1355	1452.26	1355	1355	1355.01	1355	1355	1452.26
1191.38	295.312	1371	1469.07	1371	1371	1371.01	1371	1371	1469.08
1191.48	295.212	1403	1501.88	1403	1403	1403.01	1403	1403	1501.9
1191.58	295.112	1401	1500.69	1401	1401	1401.02	1401	1401	1500.71
1191.68	295.012	1451	1551.5	1451	1451	1451.03	1451	1451	1551.54
1191.78	294.912	1383	1484.31	1383	1383	1383.05	1383	1383	1484.36
1191.88	294.812	1423	1525.18	1423	1423	1423.07	1423	1423	1525.25
1191.98	294.712	1445	1548.14	1445	1445	1445.11	1445	1445	1548.25
1192.08	294.612	1490	1594.09	1490	1490	1490.16	1490	1490	1594.25
1192.18	294.512	1431	1536.05	1431	1431	1431.23	1431	1431	1536.28
1192.28	294.412	1436	1542.01	1436	1436	1436.33	1436	1436	1542.34
1192.38	294.312	1425	1531.97	1425	1425	1425.48	1425	1425	1532.44
1192.48	294.212	1470	1577.92	1470	1470	1470.68	1470	1470	1578.6
1192.58	294.112	1451	1560.04	1451	1451	1451.95	1451	1451	1560.99
1192.68	294.012	1451	1554.51	1444.32	1444.32	1445.64	1444.32	1444.32	1555.83
1192.78	293.912	1431	1555.63	1444.3	1444.3	1446.13	1444.3	1444.3	1557.46
1192.88	293.812	1433	1556.76	1444.29	1444.29	1446.79	1444.29	1444.29	1559.26
1192.98	293.712	1537	1557.76	1444.14	1444.14	1447.54	1444.14	1444.14	1561.16
1193.08	293.612	1505	1558.81	1444.05	1444.05	1448.63	1444.05	1444.05	1563.39
1193.18	293.512	1448	1560.04	1444.04	1444.04	1450.16	1444.04	1444.04	1566.16
1193.28	293.412	1524	1561.31	1443.92	1443.92	1452.03	1443.92	1443.92	1569.42
1193.38	293.312	1555	1562.52	1443.75	1443.75	1454.4	1443.75	1443.75	1573.17
1193.48	293.212	1454	1563.89	1443.73	1443.73	1457.6	1443.73	1443.73	1577.76
1193.58	293.112	1432	1565.26	1443.71	1443.71	1461.62	1443.71	1443.71	1583.17
1193.68	293.012	1549	1566.49	1443.55	1443.55	1466.48	1443.55	1443.55	1589.41
1193.78	292.912	1565	1567.69	1443.36	1443.36	1472.46	1443.36	1443.36	1596.78
1193.88	292.812	1573	1569.16	1443.16	1443.16	1479.77	1443.16	1443.16	1605.77
1193.98	292.712	1560	1570.69	1442.98	1442.98	1488.65	1442.98	1442.98	1616.37
1194.08	292.612	1566	1572.22	1442.79	1442.8	1499.25	1442.79	1442.79	1628.68
1194.18	292.512	1654	1573.6	1442.46	1442.47	1511.61	1442.46	1442.46	1642.75
1194.28	292.412	1712	1574.9	1442.05	1442.06	1525.92	1442.05	1442.05	1658.78
1194.38	292.312	1687	1576.23	1441.67	1441.69	1542.42	1441.67	1441.67	1677
1194.48	292.212	1734	1577.67	1441.22	1441.25	1561.03	1441.22	1441.22	1697.52
1194.58	292.112	1791	1579.29	1440.68	1440.73	1581.71	1440.68	1440.68	1720.38
1194.68	292.012	1820	1580.86	1440.09	1440.18	1604.35	1440.09	1440.09	1745.2
1194.78	291.912	1837	1582.4	1439.48	1439.62	1628.7	1439.48	1439.48	1771.77
1194.88	291.812	1736	1584.1	1439.02	1439.24	1654.56	1439.02	1439.02	1799.86
1194.98	291.712	1824	1585.67	1438.43	1438.76	1681.09	1438.42	1438.42	1828.66
1195.08	291.612	1843	1587.2	1437.8	1438.3	1707.71	1437.8	1437.8	1857.61
1195.18	291.512	1900	1589.21	1437.09	1437.83	1733.56	1437.08	1437.08	1886.44
1195.28	291.412	1910	1591.27	1436.36	1437.47	1757.77	1436.35	1436.35	1913.81
1195.38	291.312	1934	1593.28	1435.6	1437.22	1779.41	1435.58	1435.58	1938.75
1195.48	291.212	2028	1595.16	1434.69	1437.04	1797.44	1434.67	1434.67	1960.31
1195.58	291.112	2008	1597.06	1433.81	1437.18	1811.21	1433.78	1433.78	1977.9
1195.68	291.012	1945	1599.05	1433.03	1437.81	1820.11	1432.99	1432.99	1991.02
1195.78	290.912	1964	1601.4	1432.23	1438.94	1823.55	1432.17	1432.17	1999.61
1195.88	290.812	1950	1604.31	1431.47	1440.77	1821.38	1431.37	1431.37	2003.81
1195.98	290.712	1974	1607.17	1430.68	1443.43	1813.6	1430.53	1430.53	2003.29
1196.08	290.612	1953	1610.07	1429.94	1447.23	1800.62	1429.73	1429.73	1998.69
1196.18	290.512	2020	1612.87	1429.14	1452.3	1782.87	1428.81	1428.81	1990.74
1196.28	290.412	1971	1615.74	1428.46	1459.19	1761.3	1427.98	1427.98	1980.76
1196.38	290.312	1945	1618.65	1427.89	1468.16	1736.74	1427.18	1427.18	1969.91
1196.48	290.212	1976	1622.8	1427.36	1479.5	1710.03	1426.33	1426.33	1960.71
1196.58	290.112	1995	1627.04	1426.94	1493.58	1682.15	1425.45	1425.45	1953.36
1196.68	290.012	1989	1631.29	1426.71	1510.88	1654	1424.58	1424.58	1949.14
1196.78	289.912	1940	1635.61	1426.81	1531.83	1626.4	1423.78	1423.78	1949.3
1196.88	289.812	1946	1639.92	1427.23	1556.49	1599.87	1422.98	1422.98	1954.59
1196.98	289.712	2042	1644.08	1427.96	1584.82	1574.75	1422.02	1422.02	1965.56
1197.08	289.612	2017	1649.24	1429.33	1616.92	1551.56	1421.1	1421.1	1983.75
1197.18	289.512	2012	1655.73	1431.48	1652.51	1530.46	1420.19	1420.19	2009.62
1197.28	289.412	2053	1662.15	1434.57	1690.88	1511.48	1419.21	1419.21	2041.46
1197.38	289.312	2040	1668.59	1438.99	1731.11	1494.69	1418.25	1418.25	2078.64
1197.48	289.212	2098	1674.93	1445.01	1771.85	1479.92	1417.2	1417.2	2120.13
1197.58	289.112	2103	1681.27	1453.1	1811.66	1467.12	1416.14	1416.14	2164.73
1197.68	289.012	2234	1687.4	1463.57	1848.48	1455.93	1414.87	1414.87	2210.77
1197.78	288.912	2232	1697.21	1477.23	1880.59	1446.39	1413.61	1413.61	2260.59
1197.88	288.812	2321	1707.16	1494.61	1906.13	1438.15	1412.21	1412.21	2309.43
1197.98	288.712	2342	1717.07	1516.58	1923.65	1431.13	1410.77	1410.77	2356.11
1198.08	288.612	2407	1726.88	1543.91	1931.92	1425.07	1409.23	1409.23	2400.08
1198.18	288.512	2428	1736.65	1577.56	1930.11	1419.87	1407.66	1407.66	2441.22
1198.28	288.412	2492	1746.32	1618.43	1918.32	1415.32	1405.98	1405.98	2480.45
1198.38	288.312	2564	1759.14	1667.44	1897.3	1411.27	1404.19	1404.19	2522.58
1198.48	288.212	2573	1776.16	1725.59	1868.32	1407.71	1402.39	1402.39	2570.62
1198.58	288.112	2684	1793	1793.51	1832.78	1404.37	1400.41	1400.41	2622.45
1198.68	288.012	2690	1809.83	1872.01	1792.53	1401.35	1398.41	1398.41	2680.49
1198.78	287.912	2738	1826.59	1961.51	1749.55	1398.49	1396.34	1396.34	2747.11
1198.88	287.812	2857	1843.15	2061.64	1705.5	1395.65	1394.08	1394.08	2823.68
1198.98	287.712	2830	1859.76	2172.07	1662.12	1392.99	1391.87	1391.87	2911.35
1199.08	287.612	3001	1882.67	2291.38	1620.36	1390.18	1389.38	1389.38	3016.46
1199.18	287.512	3104	1908.33	2417.89	1581.36	1387.3	1386.73	1386.73	3134.68
1199.28	287.412	3267	1936.67	2549.01	1545.55	1384.22	1383.82	1383.82	3263.98
1199.38	287.312	3351	1968.24	2681.68	1513.34	1381.06	1380.78	1380.78	3401.98
1199.48	287.212	3523	2003.38	2811.96	1484.69	1377.67	1377.47	1377.47	3545.28
1199.58	287.112	3670	2042.72	2935.55	1459.52	1374.06	1373.93	1373.93	3690.07
1199.68	287.012	3804	2086.97	3047.87	1437.75	1370.26	1370.17	1370.17	3832.33
1199.78	286.912	3966	2136.91	3144.24	1418.86	1366.22	1366.16	1366.16	3967.75
1199.88	286.812	4230	2193.38	3220.17	1402.34	1361.78	1361.74	1361.74	4092.47
1199.98	286.712	4381	2257.79	3272.04	1387.98	1357.1	1357.07	1357.07	4203.7
1200.08	286.612	4296	2331.93	3297.16	1375.77	1352.54	1352.53	1352.53	4299.83
1200.18	286.512	4351	2417.39	3294.28	1365.22	1347.9	1347.9	1347.89	4381.11
1200.28	286.412	4424	2516.32	3263.3	1355.9	1343.15	1343.16	1343.14	4449.27
1200.38	286.312	4471	2631.5	3205.56	1347.6	1338.31	1338.41	1338.3	4508.15
1200.48	286.212	4541	2766.31	3123.55	1340.04	1333.36	1333.77	1333.36	4563.61
1200.58	286.112	4571	2925.12	3020.89	1333.11	1328.35	1329.86	1328.35	4623.92
1200.68	286.012	4620	3113.24	2901.77	1326.62	1323.27	1328.18	1323.26	4700.02
1200.78	285.912	4713	3337.45	2770.72	1320.37	1318.03	1332.43	1318.03	4806.89
1200.88	285.812	4916	3606.49	2632.22	1314.08	1312.47	1350.21	1312.47	4965.6
1200.98	285.712	5384	3931.84	2490.24	1307.27	1306.17	1394.49	1306.17	5205.32
1201.08	285.612	5655	4330.52	2348.98	1300.19	1299.45	1482.9	1299.45	5564.24
1201.18	285.512	6074	4827.98	2211.51	1292.57	1292.07	1626.96	1292.07	6082.8
1201.28	285.412	6757	5463.96	2080.07	1283.95	1283.63	1812.93	1283.63	6790.04
1201.38	285.312	7670	6305.29	1956.32	1273.97	1273.76	1984.47	1273.76	7698.79
1201.48	285.212	8766	7463.38	1841.04	1262.32	1262.18	2058.68	1262.18	8838.88
1201.58	285.112	10363	9115.85	1734.05	1248.2	1248.11	1986.88	1248.11	10340.6
1201.68	285.012	12611	11520.4	1634.47	1230.61	1230.55	1800.85	1230.55	12494.6
1201.78	284.912	15816	14981.5	1540.51	1208.05	1208.01	1580.5	1208.01	15686.5
1201.88	284.812	20013	19682.2	1450.09	1178.97	1178.95	1388.79	1178.95	20163.2
1201.98	284.712	25418	25368.1	1360.55	1141.5	1141.49	1245.1	1141.49	25690.8
1202.08	284.612	30973	31017.8	1270.76	1095.39	1095.38	1140.71	1095.38	31238.5
1202.18	284.512	35402	34826.6	1181.5	1042.37	1042.36	1060.05	1042.36	34983.4
1202.28	284.412	35288	34833.1	1098.85	989.441	989.438	995.615	989.438	34948.7
1202.38	284.312	30839	30508.2	1028.59	943.308	943.307	945.24	943.307	30595.4
1202.48	284.212	22899	23457.7	975.276	909.376	909.375	909.918	909.375	23524.2
1202.58	284.112	15443	15994.5	937.415	886.914	886.914	887.051	886.914	16045.1
1202.68	284.012	9896	9825.6	911.398	872.991	872.99	873.021	872.99	9864.04
1202.78	283.912	6152	5586.97	893.796	864.832	864.832	864.838	864.832	5615.94
1202.88	283.812	4019	3088.46	881.617	859.957	859.957	859.958	859.957	3110.12
1202.98	283.712	2707	1802.04	873.164	857.103	857.103	857.103	857.103	1818.1
1203.08	283.612	1898	1217.56	867.304	855.494	855.494	855.494	855.494	1229.37
1203.18	283.512	1353	980.055	863.336	854.725	854.725	854.725	854.725	988.666
1203.28	283.412	1073	893.618	860.614	854.388	854.388	854.388	854.388	899.844
1203.38	283.312	819	865.44	858.797	854.333	854.333	854.333	854.333	869.904
1203.48	283.212	671	673.844	674.173	671	671	671	671	677.017
1203.58	283.112	536	536.658	538.237	536	536	536	536	538.895
1203.68	283.012	489	489.139	490.563	489	489	489	489	490.702
1203.78	282.912	433	433.027	434.083	433	433	433	433	434.11
1203.88	282.812	365	365.005	365.745	365	365	365	365	365.749
1203.98	282.712	372	372.001	372.509	372	372	372	372	372.51
1204.08	282.612	361	361	361.345	361	361	361	361	361.345
1204.18	282.512	354	354	354.232	354	354	354	354	354.232
1204.28	282.412	324	324	324.154	324	324	324	324	324.154
1204.38	282.312	302	302	302.102	302	302	302	302	302.102
1204.48	282.212	315	315	315.067	315	315	315	315	315.067
1204.58	282.112	260	260	260.043	260	260	260	260	260.043
1204.68	282.012	275	275	275.028	275	275	275	275	275.028
1204.78	281.912	243	243	243.018	243	243	243	243	243.018
1204.88	281.812	242	242	242.011	242	242	242	242	242.011
1204.98	281.712	224	224	224.007	224	224	224	224	224.007
1205.08	281.612	212	212	212.004	212	212	212	212	212.004
1205.18	281.512	197	197	197.003	197	197	197	197	197.003
1205.28	281.412	238	238	238.002	238	238	238	238	238.002
1205.38	281.312	220	220	220.001	220	220	220	220	220.001
1205.48	281.212	211	211	211.001	211	211	211	211	211.001
1205.58	281.112	194	194	194	194	194	194	194	194
1205.68	281.012	182	182	182	182	182	182	182	182
1205.78	280.912	182	182	182	182	182	182	182	182
1205.88	280.812	193	193	193	193	193	193	193	193
1205.98	280.712	207	207	207	207	207	207	207	207
1206.08	280.612	175	175	175	175	175	175	175	175
1206.18	280.512	147	147	147	147	147	147	147	147
1206.28	280.412	183	183	183	183	183	183	183	183
1206.38	280.312	178	178	178	178	178	178	178	178
1206.48	280.212	197	197	197	197	197	197	197	197
1206.58	280.112	160	160	160	160	160	160	160	160
1206.68	280.012	187	187	187	187	187	187	187	187
1206.78	279.912	177	177	177	177	177	177	177	177
1206.88	279.812	187	187	187	187	187	187	187	187
1206.98	279.712	172	172	172	172	172	172	172	172
1207.08	279.612	153	153	153	153	153	153	153	153
1207.18	279.512	173	173	173	173	173	173	173	173
1207.28	279.412	167	167	167	167	167	167	167	167
1207.38	279.312	166	166	166	166	166	166	166	166
1207.48	279.212	145	145	145	145	145	145	145	145
1207.58	279.112	162	162	162	162	162	162	162	162
1207.68	279.012	147	147	147	147	147	147	147	147
1207.78	278.912	169	169	169	169	169	169	169	169
1207.88	278.812	153	153	153	153	153	153	153	153
1207.98	278.712	152	152	152	152	152	152	152	152
1208.08	278.612	157	157	157	157	157	157	157	157
1208.18	278.512	171	171	171	171	171	171	171	171
1208.28	278.412	147	147	147	147	147	147	147	147
1208.38	278.312	142	142	142	142	142	142	142	142
1208.48	278.212	181	181	181	181	181	181	181	181
1208.58	278.112	143	143	143	143	143	143	143	143
1208.68	278.012	152	152	152	152	152	152	152	152
1208.78	277.912	140	140	140	140	140	140	140	140
1208.88	277.812	167	167	167	167	167	167	167	167
1208.98	277.712	156	156	156	156	156	156	156	156
1209.08	277.612	155	155	155	155	155	155	155	155
