C:\Users\emilbp\PhD\Projects\graphene-production\data\raw_data\xps\20171212_Gr-NH2\20171130_Gr-NH2.vms
C 1s/18
	Characteristic Energy eV	1486.69	Acquisition Time s	1
KE_C 1s/18	BE_C 1s/18	CPS_C 1s/18	C=C (sp2)_1_C 1s/18	C-O/C-N_2_C 1s/18	C=O_3_C 1s/18	p-p* (SUS)_4_C 1s/18	C-C (sp3)_5_C 1s/18	Background_C 1s/18	Envelope_C 1s/18
1193.96	292.734	1311	1277.07	1175.36	1175.42	1199.11	1175.36	1175.36	1300.87
1194.06	292.634	1244	1278.3	1175.27	1175.36	1205.71	1175.27	1175.27	1308.83
1194.16	292.534	1282	1279.57	1175.12	1175.25	1213.71	1175.12	1175.12	1318.3
1194.26	292.434	1349	1281.04	1174.87	1175.06	1223.22	1174.87	1174.87	1329.59
1194.36	292.334	1372	1282.48	1174.59	1174.87	1234.5	1174.59	1174.59	1342.67
1194.46	292.234	1385	1283.9	1174.29	1174.7	1247.61	1174.29	1174.29	1357.62
1194.56	292.134	1336	1285.39	1174.06	1174.64	1262.66	1174.06	1174.06	1374.56
1194.66	292.034	1374	1286.82	1173.78	1174.6	1279.44	1173.78	1173.78	1393.3
1194.76	291.934	1462	1288.13	1173.37	1174.53	1297.68	1173.37	1173.37	1413.59
1194.86	291.834	1459	1289.44	1172.97	1174.58	1317.18	1172.97	1172.97	1435.26
1194.96	291.734	1492	1291.23	1172.52	1174.74	1337.41	1172.52	1172.52	1458.34
1195.06	291.634	1511	1293.03	1172.04	1175.08	1357.74	1172.04	1172.04	1481.78
1195.16	291.534	1480	1294.88	1171.6	1175.74	1377.45	1171.6	1171.6	1504.87
1195.26	291.434	1558	1296.62	1171.06	1176.64	1395.54	1171.06	1171.06	1526.68
1195.36	291.334	1531	1298.39	1170.55	1178.01	1411.26	1170.55	1170.55	1546.56
1195.46	291.234	1563	1300.12	1169.99	1179.88	1423.69	1169.99	1169.99	1563.7
1195.56	291.134	1554	1301.86	1169.45	1182.44	1432.16	1169.45	1169.45	1577.56
1195.66	291.034	1623	1304.01	1168.81	1185.74	1435.93	1168.81	1168.81	1588.06
1195.76	290.934	1604	1306.55	1168.19	1190.07	1434.88	1168.19	1168.19	1595.12
1195.86	290.834	1555	1309.15	1167.64	1195.71	1429.14	1167.64	1167.64	1598.71
1195.96	290.734	1576	1311.73	1167.07	1202.74	1418.93	1167.07	1167.07	1599.27
1196.06	290.634	1536	1314.36	1166.54	1211.49	1404.9	1166.54	1166.54	1597.66
1196.16	290.534	1568	1316.94	1165.98	1222.09	1387.68	1165.98	1165.98	1594.76
1196.26	290.434	1638	1319.43	1165.31	1234.73	1368.09	1165.31	1165.31	1591.63
1196.36	290.334	1604	1322.31	1164.69	1249.78	1347.13	1164.69	1164.69	1589.85
1196.46	290.234	1605	1326.25	1164.07	1267.37	1325.68	1164.06	1164.06	1591.17
1196.56	290.134	1632	1330.14	1163.4	1287.62	1304.42	1163.4	1163.4	1595.38
1196.66	290.034	1624	1334.05	1162.76	1310.63	1284.03	1162.75	1162.75	1603.21
1196.76	289.934	1584	1338.01	1162.17	1336.41	1265	1162.15	1162.15	1615.13
1196.86	289.834	1621	1341.92	1161.53	1364.7	1247.54	1161.5	1161.5	1631.17
1196.96	289.734	1658	1345.77	1160.85	1395.18	1231.86	1160.8	1160.8	1651.25
1197.06	289.634	1746	1349.5	1160.06	1427.3	1217.95	1159.97	1159.97	1674.89
1197.16	289.534	1742	1355.47	1159.31	1460.53	1205.88	1159.15	1159.15	1703.75
1197.26	289.434	1770	1361.6	1158.58	1493.95	1195.5	1158.28	1158.28	1734.78
1197.36	289.334	1698	1367.83	1158.03	1526.71	1186.82	1157.52	1157.52	1766.82
1197.46	289.234	1732	1374	1157.59	1557.53	1179.5	1156.71	1156.71	1798.51
